form_id	lexeme_id	root_id	form_raw	form_nfc	form_vocalized	form_unvocalized	form_stripped	form_vocalized_variants	form_unvocalized_variants	pos	finiteness	tense	aspect	mood	person	number	gender	voice	binyan	canonical_cell	is_past_cell	unimorph_tag_raw	is_syncretic	syncretism_group	is_syncretic_unvocalized	syncretism_group_unvocalized	plene_consistent	wiktionary_corroborated	ud_attested	is_attested	is_generated	source_primary	source_ids	confidence	quality_tier	quality_flags
LX-00018e7d56.PRS.FSG	LX-00018e7d56	RT-0891939731	כּוֹאֶבֶת	כּוֹאֶבֶת	כּוֹאֶבֶת	כואבת	כואבת			V	FIN	PRS	NA	IND	NA	SG	FEM	NA	PAAL	PRS.FSG	False	V;SG;PRS;FEM	False		False		True		False	True	False	unimorph_heb	heb_voc:25093|heb:24919	0.8	SILVER	
LX-00018e7d56.PRS.MPL	LX-00018e7d56	RT-0891939731	כּוֹאֲבִים	כּוֹאֲבִים	כּוֹאֲבִים	כואבים	כואבים			V	FIN	PRS	NA	IND	NA	PL	MASC	NA	PAAL	PRS.MPL	False	V;PL;PRS;MASC	False		False		True		False	True	False	unimorph_heb	heb_voc:25090|heb:24918	0.8	SILVER	
LX-00018e7d56.PRS.FPL	LX-00018e7d56	RT-0891939731	כּוֹאֲבוֹת	כּוֹאֲבוֹת	כּוֹאֲבוֹת	כואבות	כואבות			V	FIN	PRS	NA	IND	NA	PL	FEM	NA	PAAL	PRS.FPL	False	V;PL;PRS;FEM	False		False		True		False	True	False	unimorph_heb	heb_voc:25091|heb:24917	0.8	SILVER	
LX-00018e7d56.FUT.1SG	LX-00018e7d56	RT-0891939731	אֶכְאַב	אֶכְאַב	אֶכְאַב	אכאב	אכאב			V	FIN	FUT	NA	IND	1	SG	NA	NA	PAAL	FUT.1SG	False	V;1;SG;FUT	False		False		True		False	True	False	unimorph_heb	heb_voc:25073|heb:24899	0.8	SILVER	
LX-00018e7d56.FUT.2MSG	LX-00018e7d56	RT-0891939731	תִּכְאַב	תִּכְאַב	תִּכְאַב	תכאב	תכאב			V	FIN	FUT	NA	IND	2	SG	MASC	NA	PAAL	FUT.2MSG	False	V;2;SG;FUT;MASC	True	LX-00018e7d56:V1	True	LX-00018e7d56:U4	True		False	True	False	unimorph_heb	heb_voc:25098|heb:24922	0.8	SILVER	
LX-00018e7d56.FUT.2FSG	LX-00018e7d56	RT-0891939731	תִּכְאֲבִי	תִּכְאֲבִי	תִּכְאֲבִי	תכאבי	תכאבי			V	FIN	FUT	NA	IND	2	SG	FEM	NA	PAAL	FUT.2FSG	False	V;2;SG;FUT;FEM	False		False		True		False	True	False	unimorph_heb	heb_voc:25096|heb:24925	0.8	SILVER	
LX-00018e7d56.FUT.3MSG	LX-00018e7d56	RT-0891939731	יִכְאַב	יִכְאַב	יִכְאַב	יכאב	יכאב			V	FIN	FUT	NA	IND	3	SG	MASC	NA	PAAL	FUT.3MSG	False	V;3;SG;FUT;MASC	False		False		True		False	True	False	unimorph_heb	heb_voc:25075|heb:24900	0.8	SILVER	
LX-00018e7d56.FUT.3FSG	LX-00018e7d56	RT-0891939731	תִּכְאַב	תִּכְאַב	תִּכְאַב	תכאב	תכאב			V	FIN	FUT	NA	IND	3	SG	FEM	NA	PAAL	FUT.3FSG	False	V;3;SG;FUT;FEM	True	LX-00018e7d56:V1	True	LX-00018e7d56:U4	True		False	True	False	unimorph_heb	heb_voc:25099|heb:24923	0.8	SILVER	
LX-00018e7d56.FUT.1PL	LX-00018e7d56	RT-0891939731	נִכְאַב	נִכְאַב	נִכְאַב	נכאב	נכאב			V	FIN	FUT	NA	IND	1	PL	NA	NA	PAAL	FUT.1PL	False	V;1;PL;FUT	False		False		True		False	True	False	unimorph_heb	heb_voc:25095|heb:24921	0.8	SILVER	
LX-00018e7d56.FUT.2MPL	LX-00018e7d56	RT-0891939731	תִּכְאֲבוּ	תִּכְאֲבוּ	תִּכְאֲבוּ	תכאבו	תכאבו			V	FIN	FUT	NA	IND	2	PL	MASC	NA	PAAL	FUT.2MPL	False	V;2;PL;FUT;MASC	False		False		True		False	True	False	unimorph_heb	heb_voc:25097|heb:24924	0.8	SILVER	
LX-00018e7d56.FUT.2FPL	LX-00018e7d56	RT-0891939731	תִּכְאַבְנָה	תִּכְאַבְנָה	תִּכְאַבְנָה	תכאבנה	תכאבנה			V	FIN	FUT	NA	IND	2	PL	FEM	NA	PAAL	FUT.2FPL	False	V;2;PL;FUT;FEM	True	LX-00018e7d56:V2	True	LX-00018e7d56:U5	True		False	True	False	unimorph_heb	heb_voc:25100|heb:24926	0.8	SILVER	
LX-00018e7d56.FUT.3MPL	LX-00018e7d56	RT-0891939731	יִכְאֲבוּ	יִכְאֲבוּ	יִכְאֲבוּ	יכאבו	יכאבו			V	FIN	FUT	NA	IND	3	PL	MASC	NA	PAAL	FUT.3MPL	False	V;3;PL;FUT;MASC	False		False		True		False	True	False	unimorph_heb	heb_voc:25074|heb:24901	0.8	SILVER	
LX-00018e7d56.FUT.3FPL	LX-00018e7d56	RT-0891939731	תִּכְאַבְנָה	תִּכְאַבְנָה	תִּכְאַבְנָה	תכאבנה	תכאבנה			V	FIN	FUT	NA	IND	3	PL	FEM	NA	PAAL	FUT.3FPL	False	V;3;PL;FUT;FEM	True	LX-00018e7d56:V2	True	LX-00018e7d56:U5	True		False	True	False	unimorph_heb	heb_voc:25101|heb:24927	0.8	SILVER	
LX-00018e7d56.IMP.2MSG	LX-00018e7d56	RT-0891939731	כְּאַב	כְּאַב	כְּאַב	כאב	כאב			V	FIN	NA	NA	IMP	2	SG	MASC	NA	PAAL	IMP.2MSG	False	V;2;SG;IMP;MASC	False		True	LX-00018e7d56:U2	True		False	True	False	unimorph_heb	heb_voc:25076|heb:24903	0.8	SILVER	
LX-00018e7d56.IMP.2FSG	LX-00018e7d56	RT-0891939731	כַּאֲבִי	כַּאֲבִי	כַּאֲבִי	כאבי	כאבי			V	FIN	NA	NA	IMP	2	SG	FEM	NA	PAAL	IMP.2FSG	False	V;2;SG;IMP;FEM	False		False		True		False	True	False	unimorph_heb	heb_voc:25080|heb:24908	0.8	SILVER	
LX-00018e7d56.IMP.2MPL	LX-00018e7d56	RT-0891939731	כַּאֲבוּ	כַּאֲבוּ	כַּאֲבוּ	כאבו	כאבו			V	FIN	NA	NA	IMP	2	PL	MASC	NA	PAAL	IMP.2MPL	False	V;2;PL;IMP;MASC	False		True	LX-00018e7d56:U3	True		False	True	False	unimorph_heb	heb_voc:25081|heb:24907	0.8	SILVER	
LX-00018e7d56.IMP.2FPL	LX-00018e7d56	RT-0891939731	כְּאַבְנָה	כְּאַבְנָה	כְּאַבְנָה	כאבנה	כאבנה			V	FIN	NA	NA	IMP	2	PL	FEM	NA	PAAL	IMP.2FPL	False	V;2;PL;IMP;FEM	False		False		True		False	True	False	unimorph_heb	heb_voc:25077|heb:24909	0.8	SILVER	
LX-00018e7d56.NFIN	LX-00018e7d56	RT-0891939731	לִכְאֹב	לִכְאֹב	לִכְאֹב	לכאוב	לכאב			V	NFIN	NA	NA	NA	NA	NA	NA	NA	PAAL	NFIN	False	V;NFIN	False		False		True		False	True	False	unimorph_heb	heb_voc:25094|heb:24920	0.8	SILVER	
LX-00018e7d56.MSDR	LX-00018e7d56	RT-0891939731	כְּאֵב	כְּאֵב	כְּאֵב	כאב	כאב			V.MSDR	NFIN	NA	NA	NA	NA	NA	NA	NA	PAAL	MSDR	False	V.MSDR	False		True	LX-00018e7d56:U2	True		False	True	False	unimorph_heb	heb_voc:25089|heb:24904	0.8	SILVER	RAW_NOT_NFC
LX-000a71e8a7.PST.3MSG	LX-000a71e8a7	RT-d65e545188	נָטַף	נָטַף	נָטַף	נטף	נטף			V	FIN	PST	NA	IND	3	SG	MASC	NA	PAAL	PST.3MSG	True		False		False		True		False	True	False	hewiktionary	wikt:entry:p34195:r413545:o0:t0	0.768	SILVER	
LX-000a71e8a7.PRS.MSG	LX-000a71e8a7	RT-d65e545188	נוֹטֵף	נוֹטֵף	נוֹטֵף		נוטף			V	FIN	PRS	NA	IND	NA	SG	MASC	NA	PAAL	PRS.MSG	False		False		False				False	True	False	hewiktionary	wikt:conj:p34199:r345591:t0:קל הווה	0.768	SILVER	MISSING_UNVOCALIZED
LX-000a71e8a7.FUT.3MSG	LX-000a71e8a7	RT-d65e545188	יִטֹּף	יִטֹּף	יִטֹּף		יטף			V	FIN	FUT	NA	IND	3	SG	MASC	NA	PAAL	FUT.3MSG	False		False		False				False	True	False	hewiktionary	wikt:conj:p34199:r345591:t0:קל עתיד	0.768	SILVER	MISSING_UNVOCALIZED
LX-000a71e8a7.IMP.2MSG	LX-000a71e8a7	RT-d65e545188	טֹף	טֹף	טֹף		טף			V	FIN	NA	NA	IMP	2	SG	MASC	NA	PAAL	IMP.2MSG	False		False		False				False	True	False	hewiktionary	wikt:conj:p34199:r345591:t0:קל ציווי	0.768	SILVER	MISSING_UNVOCALIZED
LX-000a71e8a7.NFIN	LX-000a71e8a7	RT-d65e545188	לִנְטֹף	לִנְטֹף	לִנְטֹף		לנטף			V	NFIN	NA	NA	NA	NA	NA	NA	NA	PAAL	NFIN	False		False		False				False	True	False	hewiktionary	wikt:conj:p34199:r345591:t0:קל שם הפועל	0.768	SILVER	MISSING_UNVOCALIZED
LX-000c168e7e.PST.3MSG	LX-000c168e7e	RT-5919e85bdb	נִמֵּר	נִמֵּר	נִמֵּר	נימר	נמר			V	FIN	PST	NA	IND	3	SG	MASC	NA	PIEL	PST.3MSG	True		False		False		True		False	True	False	hewiktionary	wikt:entry:p13877:r520843:o4712:t0	0.64	SILVER	
LX-001c057dd4.PST.1SG	LX-001c057dd4	RT-229e7b0bec	הֵנַחְתִּי	הֵנַחְתִּי	הֵנַחְתִּי	הנחתי	הנחתי			V	FIN	PST	NA	IND	1	SG	NA	NA	HIFIL	PST.1SG	True	V;1;SG;PST	False		False		True		False	True	False	unimorph_heb	heb_voc:21458|heb:18597	0.988	SILVER	
LX-001c057dd4.PST.2MSG	LX-001c057dd4	RT-229e7b0bec	הֵנַחְתָּ	הֵנַחְתָּ	הֵנַחְתָּ	הנחת	הנחת			V	FIN	PST	NA	IND	2	SG	MASC	NA	HIFIL	PST.2MSG	True	V;2;SG;PST;MASC	False		True	LX-001c057dd4:U1	True		False	True	False	unimorph_heb	heb_voc:21459|heb:18595	0.988	SILVER	
LX-001c057dd4.PST.2FSG	LX-001c057dd4	RT-229e7b0bec	הֵנַחְתְּ	הֵנַחְתְּ	הֵנַחְתְּ	הנחת	הנחת			V	FIN	PST	NA	IND	2	SG	FEM	NA	HIFIL	PST.2FSG	True	V;2;SG;PST;FEM	False		True	LX-001c057dd4:U1	True		False	True	False	unimorph_heb	heb_voc:21457|heb:18596	0.988	SILVER	
LX-001c057dd4.PST.3MSG	LX-001c057dd4	RT-229e7b0bec	הֵנִיחַ	הֵנִיחַ	הֵנִיחַ	הניח	הניח			V	FIN	PST	NA	IND	3	SG	MASC	NA	HIFIL	PST.3MSG	True	V;3;SG;PST;MASC	False		False		True	True	True	True	False	unimorph_heb	heb_voc:21453|heb:18600	0.988	SILVER	WIKT_CORROBORATED
LX-001c057dd4.PST.3FSG	LX-001c057dd4	RT-229e7b0bec	הֵנִיחָה	הֵנִיחָה	הֵנִיחָה	הניחה	הניחה			V	FIN	PST	NA	IND	3	SG	FEM	NA	HIFIL	PST.3FSG	True	V;3;SG;PST;FEM	False		False		True		True	True	False	unimorph_heb	heb_voc:21454|heb:18601	0.988	SILVER	
LX-001c057dd4.PST.1PL	LX-001c057dd4	RT-229e7b0bec	הֵנַחְנוּ	הֵנַחְנוּ	הֵנַחְנוּ	הנחנו	הנחנו			V	FIN	PST	NA	IND	1	PL	NA	NA	HIFIL	PST.1PL	True	V;1;PL;PST	False		False		True		True	True	False	unimorph_heb	heb_voc:21456|heb:18594	0.988	SILVER	
LX-001c057dd4.PST.2MPL	LX-001c057dd4	RT-229e7b0bec	הֲנַחְתֶּם	הֲנַחְתֶּם	הֲנַחְתֶּם	הנחתם	הנחתם			V	FIN	PST	NA	IND	2	PL	MASC	NA	HIFIL	PST.2MPL	True	V;2;PL;PST;MASC	False		False		True		False	True	False	unimorph_heb	heb_voc:21450|heb:18598	0.988	SILVER	
LX-001c057dd4.PST.2FPL	LX-001c057dd4	RT-229e7b0bec	הֲנַחְתֶּן	הֲנַחְתֶּן	הֲנַחְתֶּן	הנחתן	הנחתן			V	FIN	PST	NA	IND	2	PL	FEM	NA	HIFIL	PST.2FPL	True	V;2;PL;PST;FEM	False		False		True		False	True	False	unimorph_heb	heb_voc:21451|heb:18599	0.988	SILVER	
LX-001c057dd4.PST.3PL	LX-001c057dd4	RT-229e7b0bec	הֵנִיחוּ	הֵנִיחוּ	הֵנִיחוּ	הניחו	הניחו			V	FIN	PST	NA	IND	3	PL	NA	NA	HIFIL	PST.3PL	True	V;3;PL;PST	False		True	LX-001c057dd4:U2	True		True	True	False	unimorph_heb	heb_voc:21455|heb:18602	0.988	SILVER	
LX-001c057dd4.PRS.MSG	LX-001c057dd4	RT-229e7b0bec	מֵנִיחַ	מֵנִיחַ	מֵנִיחַ	מניח	מניח			V	FIN	PRS	NA	IND	NA	SG	MASC	NA	HIFIL	PRS.MSG	False	V;SG;PRS;MASC	False		False		True	True	False	True	False	unimorph_heb	heb_voc:21470|heb:18608	0.988	SILVER	WIKT_CORROBORATED
LX-001c057dd4.PRS.FSG	LX-001c057dd4	RT-229e7b0bec	מְנִיחָה	מְנִיחָה	מְנִיחָה	מניחה	מניחה			V	FIN	PRS	NA	IND	NA	SG	FEM	NA	HIFIL	PRS.FSG	False	V;SG;PRS;FEM	False		False		True		False	True	False	unimorph_heb	heb_voc:21468|heb:18609	0.988	SILVER	
LX-001c057dd4.PRS.MPL	LX-001c057dd4	RT-229e7b0bec	מְנִיחִים	מְנִיחִים	מְנִיחִים	מניחים	מניחים			V	FIN	PRS	NA	IND	NA	PL	MASC	NA	HIFIL	PRS.MPL	False	V;PL;PRS;MASC	False		False		True		False	True	False	unimorph_heb	heb_voc:21467|heb:18611	0.988	SILVER	
LX-001c057dd4.PRS.FPL	LX-001c057dd4	RT-229e7b0bec	מְנִיחוֹת	מְנִיחוֹת	מְנִיחוֹת	מניחות	מניחות			V	FIN	PRS	NA	IND	NA	PL	FEM	NA	HIFIL	PRS.FPL	False	V;PL;PRS;FEM	False		False		True		False	True	False	unimorph_heb	heb_voc:21469|heb:18610	0.988	SILVER	
LX-001c057dd4.FUT.1SG	LX-001c057dd4	RT-229e7b0bec	אָנִיחַ	אָנִיחַ	אָנִיחַ	אניח	אניח			V	FIN	FUT	NA	IND	1	SG	NA	NA	HIFIL	FUT.1SG	False	V;1;SG;FUT	False		False		True		False	True	False	unimorph_heb	heb_voc:21449|heb:18590	0.988	SILVER	
LX-001c057dd4.FUT.2MSG	LX-001c057dd4	RT-229e7b0bec	תָּנִיחַ	תָּנִיחַ	תָּנִיחַ	תניח	תניח			V	FIN	FUT	NA	IND	2	SG	MASC	NA	HIFIL	FUT.2MSG	False	V;2;SG;FUT;MASC	True	LX-001c057dd4:V1	True	LX-001c057dd4:U3	True		False	True	False	unimorph_heb	heb_voc:21473|heb:18615	0.988	SILVER	
LX-001c057dd4.FUT.2FSG	LX-001c057dd4	RT-229e7b0bec	תָּנִיחִי	תָּנִיחִי	תָּנִיחִי	תניחי	תניחי			V	FIN	FUT	NA	IND	2	SG	FEM	NA	HIFIL	FUT.2FSG	False	V;2;SG;FUT;FEM	False		False		True		False	True	False	unimorph_heb	heb_voc:21472|heb:18618	0.988	SILVER	
LX-001c057dd4.FUT.3MSG	LX-001c057dd4	RT-229e7b0bec	יָנִיחַ	יָנִיחַ	יָנִיחַ	יניח	יניח			V	FIN	FUT	NA	IND	3	SG	MASC	NA	HIFIL	FUT.3MSG	False	V;3;SG;FUT;MASC	False		False		True	False	False	True	False	unimorph_heb	heb_voc:21464|heb:18605	0.494	QUESTIONABLE	WIKT_FORM_MISMATCH
LX-001c057dd4.FUT.3FSG	LX-001c057dd4	RT-229e7b0bec	תָּנִיחַ	תָּנִיחַ	תָּנִיחַ	תניח	תניח			V	FIN	FUT	NA	IND	3	SG	FEM	NA	HIFIL	FUT.3FSG	False	V;3;SG;FUT;FEM	True	LX-001c057dd4:V1	True	LX-001c057dd4:U3	True		False	True	False	unimorph_heb	heb_voc:21474|heb:18616	0.988	SILVER	
LX-001c057dd4.FUT.1PL	LX-001c057dd4	RT-229e7b0bec	נָנִיחַ	נָנִיחַ	נָנִיחַ	נניח	נניח			V	FIN	FUT	NA	IND	1	PL	NA	NA	HIFIL	FUT.1PL	False	V;1;PL;FUT	False		False		True		True	True	False	unimorph_heb	heb_voc:21471|heb:18612	0.988	SILVER	
LX-001c057dd4.FUT.2MPL	LX-001c057dd4	RT-229e7b0bec	תָּנִיחוּ	תָּנִיחוּ	תָּנִיחוּ	תניחו	תניחו			V	FIN	FUT	NA	IND	2	PL	MASC	NA	HIFIL	FUT.2MPL	False	V;2;PL;FUT;MASC	False		False		True		False	True	False	unimorph_heb	heb_voc:21475|heb:18617	0.988	SILVER	
LX-001c057dd4.FUT.2FPL	LX-001c057dd4	RT-229e7b0bec	תָּנַחְנָה	תָּנַחְנָה	תָּנַחְנָה	תנחנה	תנחנה			V	FIN	FUT	NA	IND	2	PL	FEM	NA	HIFIL	FUT.2FPL	False	V;2;PL;FUT;FEM	True	LX-001c057dd4:V2	True	LX-001c057dd4:U4	True		False	True	False	unimorph_heb	heb_voc:21476|heb:18613	0.988	SILVER	
LX-001c057dd4.FUT.3MPL	LX-001c057dd4	RT-229e7b0bec	יָנִיחוּ	יָנִיחוּ	יָנִיחוּ	יניחו	יניחו			V	FIN	FUT	NA	IND	3	PL	MASC	NA	HIFIL	FUT.3MPL	False	V;3;PL;FUT;MASC	False		False		True		False	True	False	unimorph_heb	heb_voc:21465|heb:18606	0.988	SILVER	
LX-001c057dd4.FUT.3FPL	LX-001c057dd4	RT-229e7b0bec	תָּנַחְנָה	תָּנַחְנָה	תָּנַחְנָה	תנחנה	תנחנה			V	FIN	FUT	NA	IND	3	PL	FEM	NA	HIFIL	FUT.3FPL	False	V;3;PL;FUT;FEM	True	LX-001c057dd4:V2	True	LX-001c057dd4:U4	True		False	True	False	unimorph_heb	heb_voc:21477|heb:18614	0.988	SILVER	
LX-001c057dd4.IMP.2MSG	LX-001c057dd4	RT-229e7b0bec	הָנַח	הָנַח	הָנַח	הנח	הנח			V	FIN	NA	NA	IMP	2	SG	MASC	NA	HIFIL	IMP.2MSG	False	V;2;SG;IMP;MASC	False		False		True	False	False	True	False	unimorph_heb	heb_voc:21462|heb:18591	0.494	QUESTIONABLE	WIKT_FORM_MISMATCH
LX-001c057dd4.IMP.2FSG	LX-001c057dd4	RT-229e7b0bec	הָנִיחִי	הָנִיחִי	הָנִיחִי	הניחי	הניחי			V	FIN	NA	NA	IMP	2	SG	FEM	NA	HIFIL	IMP.2FSG	False	V;2;SG;IMP;FEM	False		False		True		False	True	False	unimorph_heb	heb_voc:21460|heb:18604	0.988	SILVER	
LX-001c057dd4.IMP.2MPL	LX-001c057dd4	RT-229e7b0bec	הָנִיחוּ	הָנִיחוּ	הָנִיחוּ	הניחו	הניחו			V	FIN	NA	NA	IMP	2	PL	MASC	NA	HIFIL	IMP.2MPL	False	V;2;PL;IMP;MASC	False		True	LX-001c057dd4:U2	True		True	True	False	unimorph_heb	heb_voc:21461|heb:18603	0.988	SILVER	
LX-001c057dd4.IMP.2FPL	LX-001c057dd4	RT-229e7b0bec	הָנַחְנָה	הָנַחְנָה	הָנַחְנָה	הנחנה	הנחנה			V	FIN	NA	NA	IMP	2	PL	FEM	NA	HIFIL	IMP.2FPL	False	V;2;PL;IMP;FEM	False		False		True		False	True	False	unimorph_heb	heb_voc:21463|heb:18593	0.988	SILVER	
LX-001c057dd4.NFIN	LX-001c057dd4	RT-229e7b0bec	לְהָנִיחַ	לְהָנִיחַ	לְהָנִיחַ	להניח	להניח			V	NFIN	NA	NA	NA	NA	NA	NA	NA	HIFIL	NFIN	False	V;NFIN	False		False		True	True	False	True	False	unimorph_heb	heb_voc:21466|heb:18607	0.988	SILVER	WIKT_CORROBORATED
LX-001c057dd4.MSDR	LX-001c057dd4	RT-229e7b0bec	הֲנָחָה	הֲנָחָה	הֲנָחָה	הנחה	הנחה			V.MSDR	NFIN	NA	NA	NA	NA	NA	NA	NA	HIFIL	MSDR	False	V.MSDR	False		False		True		False	True	False	unimorph_heb	heb_voc:21452|heb:18592	0.988	SILVER	
LX-0055a37845.PST.3MSG	LX-0055a37845	RT-fdbd63ec87	הִסָּה	הִסָּה	הִסָּה	היסה	הסה			V	FIN	PST	NA	IND	3	SG	MASC	NA	PIEL	PST.3MSG	True		False		False		True		False	True	False	hewiktionary	wikt:entry:p55511:r365675:o9:t0	0.64	SILVER	
LX-006a00a0ca.PST.1SG	LX-006a00a0ca	RT-635e64bd0f	כָּתַבְתִּי	כָּתַבְתִּי	כָּתַבְתִּי	כתבתי	כתבתי			V	FIN	PST	NA	IND	1	SG	NA	NA	PAAL	PST.1SG	True	V;1;SG;PST	False		False		True	True	False	True	False	unimorph_heb	heb_voc:7513|heb:7533	0.9976	GOLD	WIKT_CORROBORATED
LX-006a00a0ca.PST.2MSG	LX-006a00a0ca	RT-635e64bd0f	כָּתַבְתָּ	כָּתַבְתָּ	כָּתַבְתָּ	כתבת	כתבת			V	FIN	PST	NA	IND	2	SG	MASC	NA	PAAL	PST.2MSG	True	V;2;SG;PST;MASC	False		True	LX-006a00a0ca:U1	True	True	True	True	False	unimorph_heb	heb_voc:7514|heb:7531	0.9976	GOLD	WIKT_CORROBORATED
LX-006a00a0ca.PST.2FSG	LX-006a00a0ca	RT-635e64bd0f	כָּתַבְתְּ	כָּתַבְתְּ	כָּתַבְתְּ	כתבת	כתבת			V	FIN	PST	NA	IND	2	SG	FEM	NA	PAAL	PST.2FSG	True	V;2;SG;PST;FEM	False		True	LX-006a00a0ca:U1	True	True	True	True	False	unimorph_heb	heb_voc:7512|heb:7532	0.9976	GOLD	WIKT_CORROBORATED
LX-006a00a0ca.PST.3MSG	LX-006a00a0ca	RT-635e64bd0f	כָּתַב	כָּתַב	כָּתַב	כתב	כתב			V	FIN	PST	NA	IND	3	SG	MASC	NA	PAAL	PST.3MSG	True	V;3;SG;PST;MASC	False		False		True	True	True	True	False	unimorph_heb	heb_voc:7510|heb:7525	0.9976	GOLD	WIKT_CORROBORATED
LX-006a00a0ca.PST.3FSG	LX-006a00a0ca	RT-635e64bd0f	כָּתְבָה	כָּתְבָה	כָּתְבָה	כתבה	כתבה			V	FIN	PST	NA	IND	3	SG	FEM	NA	PAAL	PST.3FSG	True	V;3;SG;PST;FEM	False		False		True	True	True	True	False	unimorph_heb	heb_voc:7508|heb:7526	0.9976	GOLD	WIKT_CORROBORATED
LX-006a00a0ca.PST.1PL	LX-006a00a0ca	RT-635e64bd0f	כָּתַבְנוּ	כָּתַבְנוּ	כָּתַבְנוּ	כתבנו	כתבנו			V	FIN	PST	NA	IND	1	PL	NA	NA	PAAL	PST.1PL	True	V;1;PL;PST	False		False		True	True	False	True	False	unimorph_heb	heb_voc:7511|heb:7530	0.9976	GOLD	WIKT_CORROBORATED
