root_id	root_raw	root_normalized	radical_1	radical_2	radical_3	radical_4	radical_5	root_length	traditional_class	traditional_class_raw	r1_is_nun	r1_is_yod	r1_is_waw	r1_is_alef	r2_is_yod	r2_is_waw	r3_is_he	r3_is_yod	r3_is_alef	rfinal_is_he	r1_is_guttural	r2_is_guttural	r3_is_guttural	has_resh	is_geminate	is_reduplicated_quadriliteral	has_weak_radical	structural_signature	structural_class	sc_strong	sc_final_he	sc_hollow_candidate	sc_initial_nun	sc_initial_yod_waw	sc_geminate	sc_guttural_containing	sc_quadriliteral	root_orthographic	orthographic_root_group_id	n_lexemes	binyanim	source_primary	source_ids	confidence	quality_tier	quality_flags
RT-d18667f552	{{שרש|בשׁל|ב־שׁ־ל}}	בשׁל	ב	ש	ל			3			False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	C.C.C	strong	True	False	False	False	False	False	False	False	בשל	RG-15ff43df68	2	HITPAEL|PIEL	hewiktionary	wikt:conj:p59976:r521372:t0:התפעל עבר|wikt:conj:p59976:r521372:t0:התפעל שם הפועל|wikt:conj:p59976:r521372:t0:פיעל עבר|wikt:conj:p59976:r521372:t0:פיעל שם הפועל|wikt:entry:p1621:r513088:o17:t0	0.988	GOLD	TRADITIONAL_CLASS_NOT_STATED
RT-8e6d4c55fa	"{{שרש3|ב|א|ס}}, [[גזרת השלמים]] (עה""פ גרונית)"	באס	ב	א	ס			3	SHLEMIM	"גזרת השלמים ; שלמים (עה""פ גרונית)"	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	C.A.C	guttural_containing	False	False	False	False	False	False	True	False	באס	RG-8e6d4c55fa	2	HITPAEL|PIEL	hewiktionary	wikt:conj:p17676:r388397:t0:התפעל עבר|wikt:conj:p17676:r388397:t0:פיעל עבר|wikt:conj:p17676:r388397:t0:פיעל שם הפועל|wikt:entry:p4196:r364954:o0:t0|wikt:entry:p4197:r175480:o0:t0	0.988	GOLD	
RT-c511308b9e	"{{שרש3|ב|ו|א}}, [[נספח:גזרת נע""ו/י|גזרת נע""ו/י]] ו[[גזרת נל""א]]"	בוא	ב	ו	א			3	AYIN_WAW_YOD+LAMED_ALEF	"גזרת נל""א ; גזרת נע""ו/י וגזרת נל""א"	False	False	False	False	False	True	False	False	True	False	False	False	True	False	False	False	True	C.W.A	hollow_candidate	False	False	True	False	False	False	True	False	בוא	RG-c511308b9e	2	HIFIL|PAAL	hewiktionary	wikt:conj:p29557:r283450:t0:הפעיל עבר|wikt:conj:p29557:r283450:t0:הפעיל שם הפועל|wikt:conj:p29557:r283450:t0:קל עבר|wikt:conj:p29557:r283450:t0:קל שם הפועל|wikt:entry:p29556:r456497:o0:t0|wikt:entry:p34312:r508202:o0:t0	0.988	GOLD	TRADITIONAL_CLASS_VARIES_ACROSS_ENTRIES
RT-f533150b82	{{שרש3|ב|ג|ד|א}}, שלמים	בגד	ב	ג	ד			3	SHLEMIM	שלמים	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	C.C.C	strong	True	False	False	False	False	False	False	False	בגד	RG-f533150b82	1	PAAL	hewiktionary	wikt:entry:p1532:r465844:o0:t0	0.8	SILVER	
RT-36d7c8da81	{{שרש3|ב|ד|ק}}, [[גזרת השלמים]]	בדק	ב	ד	ק			3	SHLEMIM	גזרת השלמים	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	C.C.C	strong	True	False	False	False	False	False	False	False	בדק	RG-36d7c8da81	1	PAAL	hewiktionary	wikt:entry:p28061:r508699:o0:t0	0.8	SILVER	
RT-9387f9bcc1	{{שרש3|ב|ד|ה}}	בדה	ב	ד	ה			3			False	False	False	False	False	False	True	False	False	True	False	False	True	False	False	False	True	C.C.H	final_he	False	True	False	False	False	False	True	False	בדה	RG-9387f9bcc1	2	PAAL|PIEL	hewiktionary	wikt:conj:p58052:r520829:t0:פיעל עבר|wikt:conj:p58052:r520829:t0:קל עבר|wikt:conj:p58052:r520829:t0:קל שם הפועל|wikt:entry:p48161:r522913:o0:t0|wikt:entry:p48161:r522913:o2582:t0	0.988	SILVER	TRADITIONAL_CLASS_NOT_STATED
RT-8134c524be	{{שרש3|ב|ח|ר}}	בחר	ב	ח	ר			3			False	False	False	False	False	False	False	False	False	False	False	True	False	True	False	False	False	C.X.R	guttural_containing	False	False	False	False	False	False	True	False	בחר	RG-8134c524be	2	NIFAL|PAAL	hewiktionary	wikt:entry:p52094:r519537:o0:t0|wikt:entry:p52104:r510533:o0:t0	0.8	SILVER	TRADITIONAL_CLASS_NOT_STATED
RT-b06c4b901f	{{שרש3|ב|ט|ח}}	בטח	ב	ט	ח			3			False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	C.C.X	guttural_containing	False	False	False	False	False	False	True	False	בטח	RG-b06c4b901f	1	PAAL	hewiktionary	wikt:entry:p51851:r506629:o17:t0	0.8	SILVER	TRADITIONAL_CLASS_NOT_STATED
RT-aeedb8d366	{{שרש3|ב|ל|ע}}	בלע	ב	ל	ע			3			False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	C.C.E	guttural_containing	False	False	False	False	False	False	True	False	בלע	RG-aeedb8d366	2	PAAL|PIEL	hewiktionary	wikt:entry:p52591:r513408:o0:t0|wikt:entry:p52591:r513408:o2441:t0	0.8	SILVER	TRADITIONAL_CLASS_NOT_STATED
RT-9ee1980676	"{{שרש3|ב|ר|ח}}, [[גזרת השלמים]], [[ל""ג]]"	ברח	ב	ר	ח			3	SHLEMIM	גזרת השלמים	False	False	False	False	False	False	False	False	False	False	False	False	True	True	False	False	False	C.R.X	guttural_containing	False	False	False	False	False	False	True	False	ברח	RG-9ee1980676	1	PAAL	hewiktionary	wikt:conj:p46297:r463527:t0:קל עבר|wikt:conj:p46297:r463527:t0:קל שם הפועל|wikt:entry:p22892:r472878:o0:t0	0.988	GOLD	
RT-44c3d96719	ב־ט־ל	בטל	ב	ט	ל			3	SHLEMIM	גזרת השלמים	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	C.C.C	strong	True	False	False	False	False	False	False	False	בטל	RG-44c3d96719	3	PAAL|PIEL|PUAL	hewiktionary	wikt:conj:p57744:r520831:t0:פועל עבר|wikt:conj:p57744:r520831:t0:פיעל עבר|wikt:conj:p57744:r520831:t0:פיעל שם הפועל|wikt:conj:p57744:r520831:t0:קל עבר|wikt:entry:p52484:r522030:o0:t0|wikt:entry:p52484:r522030:o1481:t0	0.988	GOLD	
RT-c75d284d79	{{שרש4|ג|ל|ג|ל}}	גלגל	ג	ל	ג	ל		4			False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	C.C.C.C	quadriliteral	False	False	False	False	False	False	False	True	גלגל	RG-c75d284d79	2	HITPAEL|PIEL	hewiktionary	wikt:conj:p34148:r447481:t0:התפעל עבר|wikt:conj:p34148:r447481:t0:התפעל שם הפועל|wikt:conj:p34148:r447481:t0:פיעל עבר|wikt:conj:p34148:r447481:t0:פיעל שם הפועל|wikt:entry:p19804:r520776:o3818:t0	0.988	GOLD	TRADITIONAL_CLASS_NOT_STATED
RT-413518ca91	{{שרש3|ג|ל|ח}}	גלח	ג	ל	ח			3			False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	C.C.X	guttural_containing	False	False	False	False	False	False	True	False	גלח	RG-413518ca91	2	PIEL|PUAL	hewiktionary	wikt:entry:p53652:r513896:o0:t0|wikt:entry:p53652:r513896:o1183:t0	0.8	SILVER	TRADITIONAL_CLASS_NOT_STATED
RT-85a1e81cf2	{{שרש3|ג|ז|ר|גזרה=השלמים}}	גזר	ג	ז	ר			3			False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	C.C.R	strong	True	False	False	False	False	False	False	False	גזר	RG-85a1e81cf2	1	PAAL	hewiktionary	wikt:conj:p33663:r445479:t0:קל עבר|wikt:conj:p33663:r445479:t0:קל שם הפועל|wikt:entry:p32828:r520920:o2573:t0	0.988	SILVER	TRADITIONAL_CLASS_NOT_STATED
RT-d34f37e3e5	"{{שרש3|ג|ל|ה|א}}, [[גזרת נל""י/ה]]"	גלה	ג	ל	ה			3	LAMED_YOD_HE	"גזרת נל""י/ה"	False	False	False	False	False	False	True	False	False	True	False	False	True	False	False	False	True	C.C.H	final_he	False	True	False	False	False	False	True	False	גלה	RG-d34f37e3e5	4	NIFAL|PAAL|PIEL|PUAL	hewiktionary	wikt:entry:p22977:r514520:o0:t0|wikt:entry:p27928:r500333:o1889:t0|wikt:entry:p27928:r500333:o2295:t0|wikt:entry:p27928:r500333:o50:t0|wikt:entry:p27928:r500333:o990:t0	0.96	SILVER	
RT-dcbb8b3392	{{שרש|גמר|ג־מ־ר}}, [[גזרת השלמים]]	גמר	ג	מ	ר			3	SHLEMIM	גזרת השלמים	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	C.C.R	strong	True	False	False	False	False	False	False	False	גמר	RG-dcbb8b3392	2	NIFAL|PAAL	hewiktionary	wikt:entry:p22341:r466770:o16:t0|wikt:entry:p63174:r494081:o0:t0	0.8	SILVER	
RT-2e922076bd	{{שרש3|ג|נ|ב}}, [[גזרת השלמים]]	גנב	ג	נ	ב			3	SHLEMIM	גזרת השלמים	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	C.N.C	strong	True	False	False	False	False	False	False	False	גנב	RG-2e922076bd	3	NIFAL|PAAL|PUAL	hewiktionary	wikt:conj:p22289:r234785:t0:נפעל עבר|wikt:conj:p22289:r234785:t0:נפעל שם הפועל|wikt:conj:p22289:r234785:t0:פועל עבר|wikt:conj:p22289:r234785:t0:קל עבר|wikt:entry:p22287:r516773:o16:t0|wikt:entry:p22287:r516773:o4422:t0	0.96	SILVER	
RT-16d1f529a9	{{שרש3|ג|ר|ם|א|גזרה=השלמים}}	גרמ	ג	ר	מ			3			False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	C.R.C	strong	True	False	False	False	False	False	False	False	גרמ	RG-16d1f529a9	1	PAAL	hewiktionary	wikt:entry:p5092:r514062:o0:t0	0.8	SILVER	TRADITIONAL_CLASS_NOT_STATED
RT-9a61bb62f9	{{שרש3|ד|ב|ר|א}}, [[גזרת השלמים]]	דבר	ד	ב	ר			3	SHLEMIM	גזרת השלמים	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	C.C.R	strong	True	False	False	False	False	False	False	False	דבר	RG-9a61bb62f9	3	HIFIL|PIEL|PUAL	hewiktionary	wikt:conj:p24135:r116516:t0:הפעיל עבר|wikt:conj:p24136:r270892:t0:פועל עבר|wikt:conj:p24136:r270892:t0:פיעל עבר|wikt:conj:p24136:r270892:t0:פיעל שם הפועל|wikt:entry:p1289:r521487:o4692:t0|wikt:entry:p1289:r521487:o6906:t0|wikt:entry:p22613:r494757:o0:t0	0.9976	GOLD	
RT-145a981b14	ד־כ־א	דכא	ד	כ	א			3			False	False	False	False	False	False	False	False	True	False	False	False	True	False	False	False	True	C.C.A	final_alef	False	False	False	False	False	False	True	False	דכא	RG-145a981b14	2	PIEL|PUAL	hewiktionary	wikt:conj:p31124:r362054:t0:פועל עבר|wikt:conj:p31124:r362054:t0:פיעל עבר|wikt:conj:p31124:r362054:t0:פיעל שם הפועל|wikt:entry:p51639:r510179:o2584:t0	0.96	SILVER	TRADITIONAL_CLASS_NOT_STATED
RT-14037da78f	{{שרש3|ד|מ|ם ב}}	דממ	ד	מ	מ			3			False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	True	C.C.C+GEM	geminate	False	False	False	False	False	True	False	False	דממ	RG-14037da78f	3	NIFAL|PAAL|PIEL	hewiktionary	wikt:conj:p17781:r284962:t0:פיעל עבר|wikt:conj:p17781:r284962:t0:פיעל שם הפועל|wikt:conj:p32472:r402723:t0:נפעל עבר|wikt:conj:p32472:r402723:t0:קל עבר|wikt:entry:p30479:r523106:o0:t0|wikt:entry:p56328:r514629:o0:t0|wikt:entry:p56328:r514629:o822:t0	0.988	GOLD	TRADITIONAL_CLASS_NOT_STATED
RT-829fcb9e40	"{{שרש|דוג|ד־ו־ג}}, [[נספח:גזרת נע""ו/י|גזרת נע""ו/י]]"	דוג	ד	ו	ג			3	AYIN_WAW_YOD	"גזרת נע""ו/י"	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	True	C.W.C	hollow_candidate	False	False	True	False	False	False	False	False	דוג	RG-829fcb9e40	2	PAAL|PIEL	hewiktionary	wikt:entry:p24552:r520503:o3778:t0|wikt:entry:p8578:r493248:o2838:t0	0.8	SILVER	
RT-8876fc76c4	{{שרש3|ד|ל|ה}}	דלה	ד	ל	ה			3			False	False	False	False	False	False	True	False	False	True	False	False	True	False	False	False	True	C.C.H	final_he	False	True	False	False	False	False	True	False	דלה	RG-8876fc76c4	3	HIFIL|PAAL|PIEL	hewiktionary	wikt:entry:p47855:r426965:o1329:t0|wikt:entry:p47855:r426965:o89:t0|wikt:entry:p50495:r509008:o0:t0	0.8	SILVER	TRADITIONAL_CLASS_NOT_STATED
RT-220c8b5691	{{שרש3|ד|מ|ה}}	דמה	ד	מ	ה			3			False	False	False	False	False	False	True	False	False	True	False	False	True	False	False	False	True	C.C.H	final_he	False	True	False	False	False	False	True	False	דמה	RG-220c8b5691	2	PAAL|PIEL	hewiktionary	wikt:entry:p4274:r519277:o1072:t0|wikt:entry:p4274:r519277:o1405:t0	0.8	SILVER	TRADITIONAL_CLASS_NOT_STATED
RT-61950d48f4	{{שרש3|ד|פ|ק}}, [[גזרת השלמים]]	דפק	ד	פ	ק			3	SHLEMIM	גזרת השלמים	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	C.C.C	strong	True	False	False	False	False	False	False	False	דפק	RG-61950d48f4	2	HITPAEL|PAAL	hewiktionary	wikt:conj:p31106:r519860:t0:התפעל עבר|wikt:conj:p31106:r519860:t0:קל עבר|wikt:entry:p26960:r521015:o0:t0|wikt:entry:p40673:r519827:o0:t0	0.96	SILVER	
RT-d2e709da1a	{{שרש3|ד|ק|ר}}	דקר	ד	ק	ר			3			False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	C.C.R	strong	True	False	False	False	False	False	False	False	דקר	RG-d2e709da1a	2	PAAL|PUAL	hewiktionary	wikt:entry:p46774:r494995:o0:t0|wikt:entry:p46774:r494995:o1175:t0	0.8	SILVER	TRADITIONAL_CLASS_NOT_STATED
RT-719883a598	"{{שרש3|ד|ו|ר|א|גזרה=נע""ו/י}}"	דור	ד	ו	ר			3			False	False	False	False	False	True	False	False	False	False	False	False	False	True	False	False	True	C.W.R	hollow_candidate	False	False	True	False	False	False	False	False	דור	RG-719883a598	1	PAAL	hewiktionary	wikt:entry:p16787:r465619:o0:t0	0.8	SILVER	TRADITIONAL_CLASS_NOT_STATED
RT-dacb9b6311	{{שרש3|ד|ר|שׁ|גזרה=השלמים}}	דרשׁ	ד	ר	ש			3			False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	C.R.C	strong	True	False	False	False	False	False	False	False	דרש	RG-22d86fce3d	1	PAAL	hewiktionary	wikt:entry:p29416:r519548:o0:t0	0.8	SILVER	TRADITIONAL_CLASS_NOT_STATED
RT-baece4fc64	"{{שרש3|נ|ב|ט|א}}, [[גזרת חפ""נ]]"	נבט	נ	ב	ט			3	PE_NUN	"גזרת חפ""נ"	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	N.C.C	initial_nun	False	False	False	True	False	False	False	False	נבט	RG-baece4fc64	3	HIFIL|NIFAL|PAAL	hewiktionary	wikt:conj:p32958:r385757:t0:הפעיל עבר|wikt:conj:p32958:r385757:t0:הפעיל שם הפועל|wikt:conj:p32958:r385757:t0:נפעל עבר|wikt:conj:p56642:r385753:t0:קל עבר|wikt:entry:p32956:r519676:o0:t0|wikt:entry:p52567:r517728:o1772:t0|wikt:entry:p52567:r517728:o1:t0	0.988	GOLD	
RT-f3e7e2f38d	{{שרש3|נ|ג|ע}}	נגע	נ	ג	ע			3	PE_NUN	"גזרת חפ""נ"	True	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	True	N.C.E	initial_nun	False	False	False	True	False	False	True	False	נגע	RG-f3e7e2f38d	3	HIFIL|PAAL|PIEL	hewiktionary	wikt:entry:p51801:r519593:o0:t0|wikt:entry:p51801:r519593:o3052:t0|wikt:entry:p54101:r495009:o48:t0	0.8	SILVER	
RT-19b2b1af7b	ד־ל־ק	דלק	ד	ל	ק			3	SHLEMIM	גזרת השלמים	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	C.C.C	strong	True	False	False	False	False	False	False	False	דלק	RG-19b2b1af7b	2	HIFIL|PAAL	hewiktionary	wikt:conj:p57055:r428946:t0:הפעיל עבר|wikt:conj:p57055:r428946:t0:הפעיל שם הפועל|wikt:conj:p57055:r428946:t0:קל עבר|wikt:entry:p5788:r503610:o0:t0	0.96	SILVER	
RT-8a15d14854	ז־כ־ר	זכר	ז	כ	ר			3	SHLEMIM	גזרת השלמים	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	C.C.R	strong	True	False	False	False	False	False	False	False	זכר	RG-8a15d14854	4	HIFIL|HUFAL|NIFAL|PAAL	hewiktionary	wikt:conj:p13627:r432151:t0:הופעל עבר|wikt:conj:p13627:r432151:t0:הפעיל עבר|wikt:conj:p13627:r432151:t0:הפעיל שם הפועל|wikt:conj:p13627:r432151:t0:נפעל עבר|wikt:conj:p13627:r432151:t0:נפעל שם הפועל|wikt:conj:p13627:r432151:t0:קל עבר|wikt:conj:p13627:r432151:t0:קל שם הפועל|wikt:entry:p31462:r519555:o2293:t0|wikt:entry:p50195:r519602:o0:t0|wikt:entry:p50195:r519602:o2079:t0	0.9976	GOLD	
RT-0b3325e43d	{{שרש3|כ|ח|ש}}	כחשׁ	כ	ח	ש			3			False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	C.X.C	guttural_containing	False	False	False	False	False	False	True	False	כחש	RG-e835f612b6	2	HIFIL|PIEL	hewiktionary	wikt:entry:p30161:r511399:o1655:t0|wikt:entry:p30161:r511399:o816:t0|wikt:entry:p50885:r510216:o0:t0|wikt:entry:p50885:r510216:o1123:t0	0.96	SILVER	SHIN_SIN_FROM_FORM|TRADITIONAL_CLASS_NOT_STATED
RT-1ca9685809	{{שרש3|כ|ש|ר}}	כשׁר	כ	ש	ר			3			False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	C.C.R	strong	True	False	False	False	False	False	False	False	כשר	RG-1001aa099e	2	HIFIL|PAAL	hewiktionary	wikt:entry:p1545:r523234:o0:t0|wikt:entry:p52293:r510217:o0:t0	0.8	SILVER	SHIN_SIN_FROM_FORM|TRADITIONAL_CLASS_NOT_STATED
RT-56389ab281	"{{שרש3|נ|כ|ר}}, [[גזרת חפ""נ]]"	נכר	נ	כ	ר			3	PE_NUN	"גזרת חפ""נ"	True	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	True	N.C.R	initial_nun	False	False	False	True	False	False	False	False	נכר	RG-56389ab281	4	HIFIL|HITPAEL|HUFAL|PIEL	hewiktionary	wikt:conj:p45401:r299802:t0:הופעל עבר|wikt:conj:p45401:r299802:t0:הפעיל עבר|wikt:conj:p45401:r299802:t0:הפעיל שם הפועל|wikt:conj:p45401:r299802:t0:התפעל עבר|wikt:conj:p45401:r299802:t0:התפעל שם הפועל|wikt:conj:p45401:r299802:t0:פיעל עבר|wikt:conj:p45401:r299802:t0:פיעל שם הפועל|wikt:entry:p44921:r440946:o0:t0|wikt:entry:p50731:r314990:o0:t0	0.988	GOLD	
RT-6a2d347b04	"{{שרש|מצא|מ־צ־א}}, [[גזרת נל""א]]"	מצא	מ	צ	א			3	LAMED_ALEF	"גזרת נל""א"	False	False	False	False	False	False	False	False	True	False	False	False	True	False	False	False	True	C.C.A	final_alef	False	False	False	False	False	False	True	False	מצא	RG-6a2d347b04	4	HIFIL|HITPAEL|NIFAL|PAAL	hewiktionary	wikt:conj:p17707:r270887:t0:הפעיל עבר|wikt:conj:p17707:r270887:t0:הפעיל שם הפועל|wikt:conj:p17707:r270887:t0:התפעל עבר|wikt:conj:p17707:r270887:t0:התפעל שם הפועל|wikt:conj:p17707:r270887:t0:נפעל עבר|wikt:conj:p17707:r270887:t0:נפעל שם הפועל|wikt:conj:p17707:r270887:t0:קל עבר|wikt:conj:p17707:r270887:t0:קל שם הפועל|wikt:entry:p22934:r522059:o0:t0|wikt:entry:p43155:r495749:o0:t0|wikt:entry:p43645:r520444:o0:t0|wikt:full:p24707:r508933:t0:נסתר_עבר|wikt:full:p24707:r508933:t1:נסתר_עבר|wikt:full:p24707:r508933:t4:נסתר_עבר|wikt:full:p24707:r508933:t6:נסתר_עבר	0.9995	GOLD	
RT-9ec7905d41	ס־ב־ר	סבר	ס	ב	ר			3			False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	C.C.R	strong	True	False	False	False	False	False	False	False	סבר	RG-9ec7905d41	3	HIFIL|PAAL|PIEL	hewiktionary	wikt:conj:p45612:r424757:t0:הפעיל עבר|wikt:conj:p45612:r424757:t0:הפעיל שם הפועל|wikt:conj:p45612:r424757:t0:פיעל עבר|wikt:conj:p45612:r424757:t0:קל עבר|wikt:entry:p51253:r512385:o0:t0|wikt:entry:p51253:r512385:o1568:t0	0.96	SILVER	TRADITIONAL_CLASS_NOT_STATED
