record_id	record_type	lemma	source_primary	quality_tier	missing_fields	details
LX-19fbe79dd5	lexeme	הִתְבַּשֵּׁל	unimorph_heb	SILVER	gloss_en	MATCHED
LX-d284aaf979	lexeme	הִתְגַּלְגֵּל	unimorph_heb	SILVER	gloss_en	MATCHED
LX-828b91b0c3	lexeme	הִתְוַכֵּחַ	unimorph_heb	QUESTIONABLE	gloss_en	MATCHED
LX-6c9df5203f	lexeme	הִתְחַבֵּא	unimorph_heb	QUESTIONABLE	root_id|binyan|gloss_en	NO_MATCH
LX-ca66f4d375	lexeme	הִתְחַמֵּם	unimorph_heb	SILVER	gloss_en	MATCHED
LX-caf5449955	lexeme	הִתְחָרֵט	unimorph_heb	QUESTIONABLE	root_id|binyan|gloss_en	NO_MATCH
LX-279b759703	lexeme	הִתְכַּנֵּס	unimorph_heb	SILVER	gloss_en	MATCHED
LX-7598d9bfae	lexeme	הִתְכַּתֵּב	unimorph_heb	QUESTIONABLE	root_id	ROOT_AMBIGUOUS
LX-a8183f4292	lexeme	הִתְכּוֹנֵן	unimorph_heb	SILVER	gloss_en	MATCHED
LX-e365017775	lexeme	הִתְכּוֹפֵף	unimorph_heb	SILVER	gloss_en	MATCHED
LX-da58ea4612	lexeme	הִתְמַצֵּא	unimorph_heb	SILVER	gloss_en	MATCHED
LX-e3dbc11ba5	lexeme	הִתְנַבֵּא	unimorph_heb	QUESTIONABLE	root_id|binyan|gloss_en	NO_MATCH
LX-c6c5520e5b	lexeme	הִתְנַדֵּב	unimorph_heb	SILVER	gloss_en	MATCHED
LX-8b691001e1	lexeme	הִתְנַזֵּר	unimorph_heb	QUESTIONABLE	root_id|binyan|gloss_en	NO_MATCH
LX-ff0a75f9d2	lexeme	הִתְנַפֵּל	unimorph_heb	GOLD	gloss_en	MATCHED
LX-aa5f3f97ad	lexeme	הִתְנַצֵּל	unimorph_heb	SILVER	gloss_en	MATCHED
LX-b84daf0549	lexeme	הִתְנַקֵּשׁ	unimorph_heb	SILVER	gloss_en	MATCHED
LX-9389d0d56a	lexeme	הִתְנַשֵּׁק	unimorph_heb	SILVER	gloss_en	MATCHED
LX-2516618eea	lexeme	הִתְעַטֵּף	unimorph_heb	SILVER	gloss_en	MATCHED
LX-3e6cdd925d	lexeme	הִתְעַצֵּל	unimorph_heb	SILVER	gloss_en	MATCHED
LX-2e98c0beb0	lexeme	הִתְפַּשֵּׁט	unimorph_heb	SILVER	gloss_en	MATCHED
LX-0eb21333e9	lexeme	הִתְפַסְפֵס	unimorph_heb	QUESTIONABLE	root_id|binyan|gloss_en	NO_MATCH
LX-ec6a963ec5	lexeme	הִתְקַבֵּל	unimorph_heb	QUESTIONABLE	root_id|binyan|gloss_en	NO_MATCH
LX-ef3e26f237	lexeme	הִתְקַמֵּט	unimorph_heb	QUESTIONABLE	root_id|binyan|gloss_en	NO_MATCH
LX-2f8a48da70	lexeme	הִתְקַנֵּא	unimorph_heb	SILVER	gloss_en	MATCHED
LX-58e6bb7696	lexeme	הִתְקַשֵּׁר	unimorph_heb	SILVER	gloss_en	MATCHED
LX-93aad878fe	lexeme	הִתְקוֹמֵם	unimorph_heb	SILVER	gloss_en	MATCHED
LX-117900dfa8	lexeme	הִתְרַגֵּז	unimorph_heb	QUESTIONABLE	root_id|binyan|gloss_en	NO_MATCH
LX-60079d536b	lexeme	הִתְרַגֵּל	unimorph_heb	QUESTIONABLE	root_id|binyan|gloss_en	NO_MATCH
LX-433573875b	lexeme	הִתְרוֹמֵם	unimorph_heb	GOLD	gloss_en	MATCHED
LX-47b371ce9e	lexeme	הֵאֵט	unimorph_heb	GOLD	gloss_en	MATCHED
LX-0c9db8c268	lexeme	הֶחְלִיט	unimorph_heb	SILVER	gloss_en	MATCHED
LX-c77a638fe9	lexeme	הֻזְכַּר	unimorph_heb	SILVER	infinitive_vocalized|gloss_en	MATCHED
LX-7c7f91a4b8	lexeme	הֻחְלַט	unimorph_heb	SILVER	infinitive_vocalized|gloss_en	MATCHED
LX-0966d22501	lexeme	הֻכְנַס	unimorph_heb	SILVER	infinitive_vocalized|gloss_en	MATCHED
LX-b60212497e	lexeme	הֻכְשַׁר	unimorph_heb	QUESTIONABLE	root_id|binyan|infinitive_vocalized|gloss_en	NO_MATCH
LX-f7c78e84bd	lexeme	הֻכַּר	unimorph_heb	SILVER	infinitive_vocalized|gloss_en	MATCHED
LX-3b2fdf89d4	lexeme	הֻסַּע	unimorph_heb	SILVER	infinitive_vocalized|gloss_en	MATCHED
LX-90e9f30f07	lexeme	הֻפְשַׁט	unimorph_heb	SILVER	infinitive_vocalized|gloss_en	MATCHED
LX-0d9e372cdb	lexeme	הֻצַּל	unimorph_heb	SILVER	infinitive_vocalized|gloss_en	MATCHED
LX-b64c2d737c	lexeme	הֻקַּף	unimorph_heb	QUESTIONABLE	root_id|binyan|infinitive_vocalized|gloss_en	NO_MATCH
LX-29fa38336f	lexeme	הֻשְׁלַט	unimorph_heb	QUESTIONABLE	root_id|binyan|infinitive_vocalized|gloss_en	NO_MATCH
LX-a099a47335	lexeme	הֻתְפַּל	unimorph_heb	QUESTIONABLE	root_id|binyan|infinitive_vocalized|gloss_en	NO_MATCH
LX-9d187e35c4	lexeme	הֻתְקַף	unimorph_heb	SILVER	infinitive_vocalized|gloss_en	MATCHED
LX-5d26abed74	lexeme	הוֹכִיחַ	unimorph_heb	QUESTIONABLE	root_id	ROOT_AMBIGUOUS
LX-b21954ec6c	lexeme	הוֹלִיד	unimorph_heb	SILVER	gloss_en	MATCHED
LX-4d2ff493ca	lexeme	הוֹשִׁיב	unimorph_heb	SILVER	gloss_en	MATCHED
LX-af4d4f3365	lexeme	הוֹתִיר	unimorph_heb	SILVER	gloss_en	MATCHED
LX-ce89cee166	lexeme	הוּבַל	unimorph_heb	SILVER	infinitive_vocalized|gloss_en	MATCHED
LX-84abc2fe49	lexeme	הוּכַח	unimorph_heb	SILVER	infinitive_vocalized|gloss_en	MATCHED
LX-d2a3bcec99	lexeme	הוּסַף	unimorph_heb	SILVER	infinitive_vocalized|gloss_en	MATCHED
LX-4a74ca1f24	lexeme	הוּרַד	unimorph_heb	SILVER	infinitive_vocalized|gloss_en	MATCHED
LX-26a5c615b3	lexeme	זָכָה	unimorph_heb	QUESTIONABLE	root_id|binyan|gloss_en	NO_MATCH
LX-b3899b9aae	lexeme	חָזַק	unimorph_heb	SILVER	gloss_en	MATCHED
LX-cf3a338b24	lexeme	חָס	unimorph_heb	SILVER	gloss_en	MATCHED
LX-833fdcfadb	lexeme	חוֹלֵל	unimorph_heb	QUESTIONABLE	root_id	ROOT_AMBIGUOUS
LX-94e6564083	lexeme	טֻפַּל	unimorph_heb	QUESTIONABLE	root_id|binyan|infinitive_vocalized|gloss_en	NO_MATCH
LX-971f876f7b	lexeme	יָכֹל	unimorph_heb	SILVER	gloss_en	MATCHED
LX-3c90c37a94	lexeme	כִּבֵּד	unimorph_heb	GOLD	gloss_en	MATCHED
LX-97654703cd	lexeme	כֻּבָּה	unimorph_heb	QUESTIONABLE	root_id|binyan|infinitive_vocalized|gloss_en	NO_MATCH
LX-2c4f064f15	lexeme	כֻּנַּס	unimorph_heb	SILVER	infinitive_vocalized|gloss_en	MATCHED
LX-1e667b6cf8	lexeme	לִקֵּק	unimorph_heb	SILVER	gloss_en	MATCHED
LX-4d4104b919	lexeme	לָקָה	unimorph_heb	SILVER	gloss_en	MATCHED
LX-7bf44013b2	lexeme	לֻקַּק	unimorph_heb	QUESTIONABLE	root_id|binyan|infinitive_vocalized|gloss_en	NO_MATCH
LX-1a8bb53e56	lexeme	מָצַץ	unimorph_heb	SILVER	gloss_en	MATCHED
LX-ffc5e79e93	lexeme	מָרַד	unimorph_heb	GOLD	gloss_en	MATCHED
LX-f247ae6a19	lexeme	מֻזַּג	unimorph_heb	QUESTIONABLE	root_id|binyan|infinitive_vocalized|gloss_en	NO_MATCH
LX-df5eb7224e	lexeme	מֻלָּא	unimorph_heb	GOLD	infinitive_vocalized|gloss_en	MATCHED
LX-f2988da37f	lexeme	מֻקַּשׁ	unimorph_heb	QUESTIONABLE	root_id|binyan|infinitive_vocalized|gloss_en	NO_MATCH
LX-e49ccc7b5d	lexeme	מוֹטֵט	unimorph_heb	QUESTIONABLE	root_id|binyan|gloss_en	NO_MATCH
LX-f6d3ae66f2	lexeme	נִבְדַּק	unimorph_heb	QUESTIONABLE	root_id|binyan|gloss_en	NO_MATCH
LX-f40ce2ea1a	lexeme	נִבְרָא	unimorph_heb	QUESTIONABLE	root_id|binyan|gloss_en	NO_MATCH
LX-d716b2c31d	lexeme	נִבֵּא	unimorph_heb	SILVER	gloss_en	MATCHED
LX-27ecb0d9f6	lexeme	נִגַּשׁ	unimorph_heb	QUESTIONABLE	binyan	BINYAN_AMBIGUOUS
LX-3a6ffbd265	lexeme	נִמְאַס	unimorph_heb	QUESTIONABLE	root_id|binyan|gloss_en	NO_MATCH
LX-ccdfd26a66	lexeme	נִמְצָא	unimorph_heb	SILVER	gloss_en	MATCHED
LX-20a10d0ecb	lexeme	נִפְגַּשׁ	unimorph_heb	QUESTIONABLE	root_id|binyan|gloss_en	NO_MATCH
LX-9d8f0c1ee0	lexeme	נֶאֱגַר	unimorph_heb	QUESTIONABLE	root_id|binyan|gloss_en	NO_MATCH
LX-8bd5392093	lexeme	נֶאֱהַב	unimorph_heb	SILVER	gloss_en	MATCHED
LX-06d7302519	lexeme	נֶאֱהַד	unimorph_heb	QUESTIONABLE	root_id|binyan|gloss_en	NO_MATCH
LX-acf6d0c26e	lexeme	נֶאֱחַז	unimorph_heb	GOLD	gloss_en	MATCHED
LX-f54543aebc	lexeme	נֶאֱכַל	unimorph_heb	SILVER	gloss_en	MATCHED
LX-580a14db7b	lexeme	נֶאֱכַף	unimorph_heb	SILVER	gloss_en	MATCHED
LX-0abda6f174	lexeme	נָגַד	unimorph_heb	SILVER	gloss_en	MATCHED
LX-8fad168902	lexeme	נֻסָּה	unimorph_heb	QUESTIONABLE	root_id|binyan|infinitive_vocalized|gloss_en	NO_MATCH
LX-0ab103d61a	lexeme	עוֹרֵר	unimorph_heb	QUESTIONABLE	root_id	ROOT_AMBIGUOUS
LX-929dec664d	lexeme	פָּקַח	unimorph_heb	SILVER	gloss_en	MATCHED
LX-2ae5d33863	lexeme	צָרַךְ	unimorph_heb	SILVER	gloss_en	MATCHED
LX-034b40ed0d	lexeme	קִפֵּל	unimorph_heb	SILVER	gloss_en	MATCHED
LX-0175462ba3	lexeme	קָדַם	unimorph_heb	GOLD	gloss_en	MATCHED
LX-a646782180	lexeme	קָטַן	unimorph_heb	QUESTIONABLE	gloss_en	MATCHED
LX-3474548eed	lexeme	קֻצַּר	unimorph_heb	SILVER	infinitive_vocalized|gloss_en	MATCHED
LX-114ebed813	lexeme	רִתֵּךְ	unimorph_heb	QUESTIONABLE	root_id|binyan|gloss_en	NO_MATCH
LX-7a323af8bb	lexeme	רָזָה	unimorph_heb	SILVER	gloss_en	MATCHED
LX-aac197a310	lexeme	רָעַב	unimorph_heb	QUESTIONABLE	root_id|binyan|gloss_en	NO_MATCH
LX-67d6ca1efe	lexeme	רֻפָּא	unimorph_heb	QUESTIONABLE	root_id|binyan|infinitive_vocalized|gloss_en	NO_MATCH
LX-00ebeb3c62	lexeme	רֻתַּךְ	unimorph_heb	QUESTIONABLE	root_id|binyan|infinitive_vocalized|gloss_en	NO_MATCH
LX-774bf3792c	lexeme	רוֹמֵם	unimorph_heb	SILVER	gloss_en	MATCHED
LX-3809f3d028	lexeme	שָׁפַע	unimorph_heb	QUESTIONABLE	root_id|binyan|gloss_en	NO_MATCH
LX-5f3a36b9a2	lexeme	שֻׁנָּה	unimorph_heb	SILVER	infinitive_vocalized|gloss_en	MATCHED
LX-e31de2e059	lexeme	תֻּבַּל	unimorph_heb	QUESTIONABLE	root_id|binyan|infinitive_vocalized|gloss_en	NO_MATCH
LX-abdd104da2	lexeme	אִבְזֵר	unimorph_heb	SILVER	gloss_en	MATCHED
LX-35741b5868	lexeme	אִזְכֵּר	unimorph_heb	QUESTIONABLE	root_id|binyan|gloss_en	NO_MATCH
LX-a420b915b8	lexeme	אָבַל	unimorph_heb	SILVER	gloss_en	MATCHED
LX-4cd06352c1	lexeme	אֹרַס	unimorph_heb	QUESTIONABLE	root_id|binyan|infinitive_vocalized|gloss_en	NO_MATCH
LX-a9d91bd3a7	lexeme	אֻבְזַר	unimorph_heb	QUESTIONABLE	root_id|binyan|infinitive_vocalized|gloss_en	NO_MATCH
LX-1a565e6bf3	lexeme	אֻבְחַן	unimorph_heb	SILVER	infinitive_vocalized|gloss_en	MATCHED
LX-5a1b805acb	lexeme	אֻזְכַּר	unimorph_heb	QUESTIONABLE	root_id|binyan|infinitive_vocalized|gloss_en	NO_MATCH
LX-7ef28cc1a5	lexeme	אֻחַד	unimorph_heb	QUESTIONABLE	root_id|binyan|infinitive_vocalized|gloss_en	NO_MATCH
LX-8f51ad5f53	lexeme	אֻכַּל	unimorph_heb	GOLD	infinitive_vocalized	MATCHED
LX-3d3b9d1489	lexeme	אֻמְלַל	unimorph_heb	QUESTIONABLE	infinitive_vocalized|gloss_en	MATCHED_UNVOC_ONLY
LX-d756a3a904	lexeme	אֻמַּן	unimorph_heb	GOLD	infinitive_vocalized	MATCHED
LX-a4a3b63a4b	lexeme	אֻמַּץ	unimorph_heb	QUESTIONABLE	root_id|binyan|infinitive_vocalized|gloss_en	NO_MATCH
LX-6302ea5da3	lexeme	אוֹר	unimorph_heb	SILVER	infinitive_vocalized	MATCHED
LX-e671b27ab0	lexeme	אוֹתֵת	unimorph_heb	SILVER	gloss_en	MATCHED
LX-aa1972304f	lexeme	בִּדֵּחַ	unimorph_heb	SILVER	gloss_en	MATCHED
LX-fac650e6e0	lexeme	בִּלֵּעַ	unimorph_heb	SILVER	gloss_en	MATCHED
LX-7dbcf03053	lexeme	בִּקֵּעַ	unimorph_heb	SILVER	gloss_en	MATCHED
LX-c9fa5fb2eb	lexeme	בָּלַם	unimorph_heb	SILVER	gloss_en	MATCHED
LX-6c1729499c	lexeme	בָּן	unimorph_heb	GOLD	gloss_en	MATCHED
LX-1f9c2c0a46	lexeme	בָּקַע	unimorph_heb	GOLD	gloss_en	MATCHED
LX-dcb25d506c	lexeme	בֹּרַךְ	unimorph_heb	SILVER	infinitive_vocalized|gloss_en	MATCHED
LX-45ba3e59b3	lexeme	בֻּקַּר	unimorph_heb	QUESTIONABLE	root_id|binyan|infinitive_vocalized|gloss_en	NO_MATCH
LX-82d311e1e1	lexeme	בּוֹשׁ	unimorph_heb	SILVER	gloss_en	MATCHED
LX-05b424973a	lexeme	גִּבָּה	unimorph_heb	QUESTIONABLE	root_id	MATCHED
LX-44614d31d8	lexeme	גִּמֵּד	unimorph_heb	SILVER	gloss_en	MATCHED
LX-2b38e4d0bf	lexeme	גָּז	unimorph_heb	GOLD	gloss_en	MATCHED
LX-5796699888	lexeme	גָּמַל	unimorph_heb	GOLD	gloss_en	MATCHED
LX-6ce95ca814	lexeme	גָּרַב	unimorph_heb	SILVER	gloss_en	MATCHED
LX-57bb45b232	lexeme	גֹּרַשׁ	unimorph_heb	GOLD	infinitive_vocalized|gloss_en	MATCHED
LX-3043db5936	lexeme	דִּגְדֵּג	unimorph_heb	SILVER	gloss_en	MATCHED
LX-e737d03de5	lexeme	דִּגֵּל	unimorph_heb	QUESTIONABLE	root_id|binyan|gloss_en	NO_MATCH
LX-1ee90f472e	lexeme	דִּכְדֵּךְ	unimorph_heb	SILVER	gloss_en	MATCHED
LX-4589a8c915	lexeme	דָּבַק	unimorph_heb	SILVER	gloss_en	MATCHED
LX-b71dee7c98	lexeme	דָּרַס	unimorph_heb	SILVER	gloss_en	MATCHED
LX-5f4ffeb810	lexeme	דֻּבַּר	unimorph_heb	SILVER	infinitive_vocalized|gloss_en	MATCHED
LX-d4d6c24997	lexeme	דֻּכְדַּךְ	unimorph_heb	QUESTIONABLE	root_id|binyan|infinitive_vocalized|gloss_en	NO_MATCH
LX-ca93468c6e	lexeme	הִבְדִּיל	unimorph_heb	SILVER	gloss_en	MATCHED
LX-bcc6e77d08	lexeme	הִבְהִיר	unimorph_heb	SILVER	gloss_en	MATCHED
LX-8bad694631	lexeme	הִבְטִיחַ	unimorph_heb	QUESTIONABLE	root_id|binyan|gloss_en	NO_MATCH
LX-fa7c5b58d1	lexeme	הִבְרִיג	unimorph_heb	QUESTIONABLE	root_id|binyan|gloss_en	NO_MATCH
LX-5987e4d604	lexeme	הִגְבִּיל	unimorph_heb	QUESTIONABLE	root_id|binyan|gloss_en	NO_MATCH
LX-94f949cad8	lexeme	הִגְבִּיר	unimorph_heb	SILVER	gloss_en	MATCHED
LX-f668c623a6	lexeme	הִגְדִּיל	unimorph_heb	SILVER	gloss_en	MATCHED
LX-1b4c6830ce	lexeme	הִדְאִיג	unimorph_heb	QUESTIONABLE	root_id|binyan|gloss_en	NO_MATCH
LX-9187694021	lexeme	הִזְדַּעְזֵעַ	unimorph_heb	QUESTIONABLE	gloss_en	MATCHED_UNVOC_ONLY
LX-520a0e9752	lexeme	הִזְדַּקֵּן	unimorph_heb	QUESTIONABLE	root_id|binyan|gloss_en	NO_MATCH
LX-a3dc4f722f	lexeme	הִזְדָּרֵז	unimorph_heb	QUESTIONABLE	root_id|binyan|gloss_en	NO_MATCH
LX-d3c798d66c	lexeme	הִזְמִין	unimorph_heb	QUESTIONABLE	root_id|binyan|gloss_en	NO_MATCH
LX-63ce11f077	lexeme	הִזִּיעַ	unimorph_heb	SILVER	gloss_en	MATCHED
LX-94279da3a4	lexeme	הִטְבִּיעַ	unimorph_heb	SILVER	gloss_en	MATCHED
LX-f381657aef	lexeme	הִטַּגֵּן	unimorph_heb	SILVER	gloss_en	MATCHED
LX-f8dff23754	lexeme	הִטַּהֵר	unimorph_heb	SILVER	gloss_en	MATCHED
LX-82b04903a1	lexeme	הִטַּנֵּף	unimorph_heb	SILVER	gloss_en	MATCHED
LX-365f2c8b45	lexeme	הִכְנִיס	unimorph_heb	SILVER	gloss_en	MATCHED
LX-60815ced6b	lexeme	הִכְעִיס	unimorph_heb	SILVER	gloss_en	MATCHED
LX-a884f3aa6c	lexeme	הִלֵּל	unimorph_heb	QUESTIONABLE	binyan	BINYAN_AMBIGUOUS
LX-8fa48ed626	lexeme	הִמְלִיץ	unimorph_heb	QUESTIONABLE	root_id|binyan|gloss_en	NO_MATCH
LX-87df3fc6d7	lexeme	הִמְתִּין	unimorph_heb	QUESTIONABLE	root_id|binyan|gloss_en	NO_MATCH
LX-be025cdb2a	lexeme	הִנְחָה	unimorph_heb	QUESTIONABLE	root_id|binyan|gloss_en	NO_MATCH
LX-b50751ff7e	lexeme	הִסְתַּגֵּר	unimorph_heb	SILVER	gloss_en	MATCHED
LX-c1d0bf9649	lexeme	הִסְתַּעְרֵב	unimorph_heb	QUESTIONABLE	root_id|binyan|gloss_en	NO_MATCH
LX-931f628b7b	lexeme	הִסְתַּעֵף	unimorph_heb	QUESTIONABLE	root_id|binyan|gloss_en	NO_MATCH
LX-5a82cc12e2	lexeme	הִסְתַּתֵּר	unimorph_heb	SILVER	gloss_en	MATCHED
LX-932d874cf9	lexeme	הִפְחִית	unimorph_heb	SILVER	gloss_en	MATCHED
LX-01f5e31b41	lexeme	הִפְטִיר	unimorph_heb	GOLD	gloss_en	MATCHED
LX-5fbefe15ca	lexeme	הִפְסִיק	unimorph_heb	SILVER	gloss_en	MATCHED
LX-d931a00a27	lexeme	הִפְרִיעַ	unimorph_heb	SILVER	gloss_en	MATCHED
LX-a2d95ab3c6	lexeme	הִצְהִיר	unimorph_heb	QUESTIONABLE	root_id|binyan|gloss_en	NO_MATCH
LX-5b2d8a4c32	lexeme	הִצְטַבְרֵחַ	unimorph_heb	QUESTIONABLE	root_id|binyan|gloss_en	NO_MATCH
LX-e25287e53f	lexeme	הִצְטַחֵק	unimorph_heb	SILVER	gloss_en	MATCHED
LX-bc7b3ef67f	lexeme	הִצְטַלֵּם	unimorph_heb	SILVER	gloss_en	MATCHED
LX-876d8f472f	lexeme	הִצְטָרֵף	unimorph_heb	QUESTIONABLE	root_id|binyan|gloss_en	NO_MATCH
LX-1490142e6c	lexeme	הִקְטִין	unimorph_heb	QUESTIONABLE	root_id|binyan|gloss_en	NO_MATCH
LX-d120856cac	lexeme	הִקְטִיר	unimorph_heb	QUESTIONABLE	root_id|binyan|gloss_en	NO_MATCH
LX-6ed9158543	lexeme	הִרְבָּה	unimorph_heb	SILVER	gloss_en	MATCHED
LX-d74fbf641c	lexeme	הִרְגִּיעַ	unimorph_heb	QUESTIONABLE	root_id|binyan|gloss_en	NO_MATCH
LX-a502ee8488	lexeme	הִרְחִיב	unimorph_heb	SILVER	gloss_en	MATCHED
LX-c157d29cd8	lexeme	הִרְטִיב	unimorph_heb	SILVER	gloss_en	MATCHED
LX-61da2d7d4b	lexeme	הִרְשִׁים	unimorph_heb	SILVER	gloss_en	MATCHED
LX-85fc90d283	lexeme	הִרְתִּיחַ	unimorph_heb	QUESTIONABLE	root_id|binyan|gloss_en	NO_MATCH
LX-4132cb40c8	lexeme	הִשְׁהָה	unimorph_heb	SILVER	gloss_en	MATCHED
LX-2eabea208f	lexeme	הִשְׁחִים	unimorph_heb	QUESTIONABLE	root_id|binyan|gloss_en	NO_MATCH
LX-b1e944da04	lexeme	הִשְׁקָה	unimorph_heb	QUESTIONABLE	root_id	ROOT_AMBIGUOUS
LX-96172c4114	lexeme	הִשְׁתִּיל	unimorph_heb	QUESTIONABLE	root_id|binyan|gloss_en	NO_MATCH
LX-d0c538f1c2	lexeme	הִשְׁתַּזֵּף	unimorph_heb	QUESTIONABLE	root_id|binyan|gloss_en	NO_MATCH
LX-e3c3e1e3c8	lexeme	הִשְׁתַּחְרֵר	unimorph_heb	SILVER	gloss_en	MATCHED
LX-b71b9f8aa9	lexeme	הִשְׁתַּכְּנֵז	unimorph_heb	SILVER	gloss_en	MATCHED
LX-93ee65b449	lexeme	הִשְׁתַּכְנֵעַ	unimorph_heb	QUESTIONABLE	root_id|binyan|gloss_en	NO_MATCH
LX-51429076b1	lexeme	הִשְׁתַּלֵּט	unimorph_heb	QUESTIONABLE	root_id|binyan|gloss_en	NO_MATCH
LX-a1721232ad	lexeme	הִשְׁתַּמֵּר	unimorph_heb	SILVER	gloss_en	MATCHED
LX-2f77cbe54c	lexeme	הִשְׁתַּפֵּר	unimorph_heb	QUESTIONABLE	root_id|binyan|gloss_en	NO_MATCH
LX-6a99ad64fb	lexeme	הִשְׁתַּתֵּף	unimorph_heb	SILVER	gloss_en	MATCHED
LX-8e7a7d8db5	lexeme	הִשְׁתּוֹחֵחַ	unimorph_heb	QUESTIONABLE	root_id|binyan|gloss_en	NO_MATCH
LX-013b1f126e	lexeme	הִשְׂתַּכֵּר	unimorph_heb	SILVER	gloss_en	MATCHED
LX-80118e8b33	lexeme	הִתְאַגְרֵף	unimorph_heb	QUESTIONABLE	root_id|binyan|gloss_en	NO_MATCH
LX-753743cd88	lexeme	הִתְאַגֵּד	unimorph_heb	QUESTIONABLE	root_id|binyan|gloss_en	NO_MATCH
LX-0ab684b4f0	lexeme	הִתְאַדָּה	unimorph_heb	QUESTIONABLE	root_id|binyan|gloss_en	NO_MATCH
LX-662bb44764	lexeme	הִתְאַהֵב	unimorph_heb	GOLD	gloss_en	MATCHED
LX-e545484ad5	lexeme	הִתְאַזְרֵחַ	unimorph_heb	GOLD	gloss_en	MATCHED
LX-f9d62d9df6	lexeme	הִתְאַזֵּן	unimorph_heb	SILVER	gloss_en	MATCHED
LX-78868f4b87	lexeme	הִתְאַכְזֵב	unimorph_heb	QUESTIONABLE	root_id|binyan|gloss_en	NO_MATCH
LX-cf42f5d720	lexeme	הִתְאַמֵּן	unimorph_heb	SILVER	gloss_en	MATCHED
LX-222c345c8f	lexeme	הִתְאַסֵּף	unimorph_heb	SILVER	gloss_en	MATCHED
LX-549458f290	lexeme	הִתְאַרְגֵּן	unimorph_heb	SILVER	gloss_en	MATCHED
LX-9b5ec63a2f	lexeme	הִתְבַּדֵּחַ	unimorph_heb	QUESTIONABLE	root_id|binyan|gloss_en	NO_MATCH
