conflict_type	record_type	record_id	lemma	details	candidates	sources
ROOT_AMBIGUOUS	lexeme	LX-7598d9bfae	הִתְכַּתֵּב	evidence supports several roots: כתב, קרנ	"[{""method"": ""entry_headword_exact"", ""root"": ""כ-ת-ב"", ""binyan"": ""HITPAEL"", ""record"": ""wikt:entry:p63356:r499574:o24:t0"", ""page"": ""התכתב""}, {""method"": ""conj_table_past_exact"", ""root"": ""כ-ת-ב"", ""binyan"": ""HITPAEL"", ""record"": ""wikt:conj:p13625:r270847:t0:התפעל עבר"", ""page"": ""כתב (שורש)""}, {""method"": ""full_table_past_exact"", ""root"": ""כ-ת-ב"", ""binyan"": ""HITPAEL"", ""record"": ""wikt:full:p23780:r508927:t6:נסתר_עבר"", ""page"": ""נספח:גזרת השלמים""}, {""method"": ""conj_table_infinitive_exact"", ""root"": ""כ-ת-ב"", ""binyan"": ""HITPAEL"", ""record"": ""wikt:conj:p13625:r270847:t0:התפעל שם הפועל"", ""page"": ""כתב (שורש)""}, {""method"": ""conj_table_infinitive_exact"", ""root"": ""ק-ר-נ"", ""binyan"": ""HITPAEL"", ""record"": ""wikt:conj:p63641:r508975:t0:התפעל שם הפועל"", ""page"": ""קרן (שורש)""}]"	wikt:conj:p13625:r270847:t0:התפעל עבר|wikt:conj:p13625:r270847:t0:התפעל שם הפועל|wikt:conj:p63641:r508975:t0:התפעל שם הפועל|wikt:entry:p63356:r499574:o24:t0|wikt:full:p23780:r508927:t6:נסתר_עבר
WIKT_FORM_MISMATCH	form	LX-da58ea4612.FUT.3MPL	הִתְמַצֵּא	UniMorph יִתְמַצְּאוּ vs Wiktionary יִתְמַצְּאו		wikt:full:p24707:r508933:t6:נסתרים_עתיד
WIKT_FORM_MISMATCH	form	LX-9389d0d56a.PST.2FSG	הִתְנַשֵּׁק	UniMorph הִתְנַשַּׁקְתְּ vs Wiktionary הִתְנַשַּׁקְתָּ		wikt:full:p23828:r508930:t6:נוכחת_עבר
WIKT_FORM_MISMATCH	form	LX-25abec0cbb.IMP.2MSG	הוֹדִיעַ	UniMorph הוֹדֵעַ vs Wiktionary הוֹדַע		wikt:conj:p20093:r422476:t0:הפעיל ציווי
ROOT_AMBIGUOUS	lexeme	LX-5d26abed74	הוֹכִיחַ	evidence supports several roots: וכח, יכח	"[{""method"": ""entry_headword_exact"", ""root"": ""ו-כ-ח"", ""binyan"": ""HIFIL"", ""record"": ""wikt:entry:p53697:r520902:o9:t0"", ""page"": ""הוכיח""}, {""method"": ""conj_table_past_exact"", ""root"": ""י-כ-ח"", ""binyan"": ""HIFIL"", ""record"": ""wikt:conj:p32022:r509699:t0:הפעיל עבר"", ""page"": ""וכח (שורש)""}, {""method"": ""conj_table_infinitive_exact"", ""root"": ""י-כ-ח"", ""binyan"": ""HIFIL"", ""record"": ""wikt:conj:p32022:r509699:t0:הפעיל שם הפועל"", ""page"": ""וכח (שורש)""}]"	wikt:conj:p32022:r509699:t0:הפעיל עבר|wikt:conj:p32022:r509699:t0:הפעיל שם הפועל|wikt:entry:p53697:r520902:o9:t0
WIKT_FORM_MISMATCH	form	LX-4ac10ca2bd.IMP.2MSG	הוֹפִיעַ	UniMorph הוֹפֵעַ vs Wiktionary הוֹפַע		wikt:conj:p32452:r270760:t0:הפעיל ציווי
WIKT_FORM_MISMATCH	form	LX-b3899b9aae.PRS.MSG	חָזַק	UniMorph חָזֵק vs Wiktionary חָזָק		wikt:conj:p45614:r237300:t0:קל הווה
WIKT_FORM_MISMATCH	form	LX-b3899b9aae.FUT.3MSG	חָזַק	UniMorph יֶחֱזַק vs Wiktionary יֶחְזַק		wikt:conj:p45614:r237300:t0:קל עתיד
WIKT_FORM_MISMATCH	form	LX-b3899b9aae.NFIN	חָזַק	UniMorph לַחֲזֹק vs Wiktionary לַחְזֹק		wikt:conj:p45614:r237300:t0:קל שם הפועל
ROOT_AMBIGUOUS	lexeme	LX-833fdcfadb	חוֹלֵל	evidence supports several roots: חול, חיל	"[{""method"": ""entry_headword_exact"", ""root"": ""ח-ו-ל"", ""binyan"": ""PIEL"", ""record"": ""wikt:entry:p11596:r521957:o0:t0"", ""page"": ""חולל""}, {""method"": ""entry_headword_exact"", ""root"": ""ח-י-ל"", ""binyan"": ""PIEL"", ""record"": ""wikt:entry:p11596:r521957:o791:t0"", ""page"": ""חולל""}, {""method"": ""conj_table_past_exact"", ""root"": ""ח-י-ל"", ""binyan"": ""PIEL"", ""record"": ""wikt:conj:p11583:r321026:t0:פיעל עבר"", ""page"": ""חיל א (שורש)""}, {""method"": ""conj_table_past_exact"", ""root"": ""ח-ו-ל"", ""binyan"": ""PIEL"", ""record"": ""wikt:conj:p20089:r163651:t0:פיעל עבר"", ""page"": ""חול (שורש)""}, {""method"": ""conj_table_infinitive_exact"", ""root"": ""ח-י-ל"", ""binyan"": ""PIEL"", ""record"": ""wikt:conj:p11583:r321026:t0:פיעל שם הפועל"", ""page"": ""חיל א (שורש)""}, {""method"": ""conj_table_infinitive_exact"", ""root"": ""ח-ו-ל"", ""binyan"": ""PIEL"", ""record"": ""wikt:conj:p20089:r163651:t0:פיעל שם הפועל"", ""page"": ""חול (שורש)""}]"	wikt:conj:p11583:r321026:t0:פיעל עבר|wikt:conj:p11583:r321026:t0:פיעל שם הפועל|wikt:conj:p20089:r163651:t0:פיעל עבר|wikt:conj:p20089:r163651:t0:פיעל שם הפועל|wikt:entry:p11596:r521957:o0:t0|wikt:entry:p11596:r521957:o791:t0
WIKT_FORM_MISMATCH	form	LX-971f876f7b.NFIN	יָכֹל	UniMorph לִהְיוֹת יָכוֹל vs Wiktionary לִיכֹל | לוּכַל		wikt:conj:p31610:r358362:t0:קל שם הפועל
VOC_UNVOC_INCONSISTENT	form	LX-dc8695bc5d.PST.1SG	מֵת	vocalized מַתִּי (stripped מתי) vs plene מתתי		heb_voc:8182|heb:8884
VOC_UNVOC_INCONSISTENT	form	LX-dc8695bc5d.PST.2MSG	מֵת	vocalized מַתָּ (stripped מת) vs plene מתת		heb_voc:8185|heb:8882
VOC_UNVOC_INCONSISTENT	form	LX-dc8695bc5d.PST.2FSG	מֵת	vocalized מַתְּ (stripped מת) vs plene מתת		heb_voc:8180|heb:8883
VOC_UNVOC_INCONSISTENT	form	LX-dc8695bc5d.PST.2MPL	מֵת	vocalized מַתֶּם (stripped מתם) vs plene מתתם		heb_voc:8183|heb:8885
VOC_UNVOC_INCONSISTENT	form	LX-dc8695bc5d.PST.2FPL	מֵת	vocalized מַתֶּן (stripped מתן) vs plene מתתן		heb_voc:8184|heb:8886
BINYAN_AMBIGUOUS	lexeme	LX-27ecb0d9f6	נִגַּשׁ	evidence supports several binyanim: NIFAL, PAAL	"[{""method"": ""entry_headword_exact"", ""root"": ""נ-ג-ש"", ""binyan"": ""NIFAL"", ""binyan_raw"": ""נפעל"", ""record"": ""wikt:entry:p30877:r518677:o23:t0"", ""page"": ""נגש""}, {""method"": ""conj_table_past_exact"", ""root"": ""נ-ג-שׁ"", ""binyan"": ""NIFAL"", ""binyan_raw"": ""נפעל"", ""record"": ""wikt:conj:p30875:r518679:t0:נפעל עבר"", ""page"": ""נגש (שורש)""}, {""method"": ""conj_table_infinitive_exact"", ""root"": ""נ-ג-שׁ"", ""binyan"": ""PAAL"", ""binyan_raw"": ""קל"", ""record"": ""wikt:conj:p30875:r518679:t0:קל שם הפועל"", ""page"": ""נגש (שורש)""}]"	wikt:conj:p30875:r518679:t0:נפעל עבר|wikt:conj:p30875:r518679:t0:קל שם הפועל|wikt:entry:p30877:r518677:o23:t0
WIKT_FORM_MISMATCH	form	LX-ccdfd26a66.IMP.2FSG	נִמְצָא	UniMorph הִמָּצְאִי vs Wiktionary הִמָּצְאי		wikt:full:p24707:r508933:t1:נוכחת_צווי
WIKT_FORM_MISMATCH	form	LX-4384a81da4.FUT.3MSG	נָבַח	UniMorph יִבַּח vs Wiktionary יִנְבַּח		wikt:conj:p42986:r237272:t0:קל עתיד
WIKT_FORM_MISMATCH	form	LX-4384a81da4.NFIN	נָבַח	UniMorph לִבֹּחַ vs Wiktionary לִנְבֹּחַ		wikt:conj:p42986:r237272:t0:קל שם הפועל
WIKT_FORM_MISMATCH	form	LX-7a8b4fc1f5.FUT.3MSG	סָגַר	UniMorph יִסְגֹּר vs Wiktionary יִסְגוֹר		wikt:conj:p56472:r383392:t0:קל עתיד
WIKT_FORM_MISMATCH	form	LX-7a8b4fc1f5.NFIN	סָגַר	UniMorph לִסְגֹּר vs Wiktionary לְסְגוֹר		wikt:conj:p56472:r383392:t0:קל שם הפועל
ROOT_AMBIGUOUS	lexeme	LX-0ab103d61a	עוֹרֵר	evidence supports several roots: עור, ערר	"[{""method"": ""entry_headword_exact"", ""root"": ""ע-ר-ר"", ""binyan"": ""PIEL"", ""record"": ""wikt:entry:p55405:r508184:o0:t0"", ""page"": ""עורר""}, {""method"": ""entry_headword_exact"", ""root"": ""ע-ו-ר"", ""binyan"": ""PIEL"", ""record"": ""wikt:entry:p55405:r508184:o1612:t0"", ""page"": ""עורר""}, {""method"": ""conj_table_past_exact"", ""root"": ""ע-ו-ר"", ""binyan"": ""PIEL"", ""record"": ""wikt:conj:p32407:r266365:t0:פיעל עבר"", ""page"": ""עור א (שורש)""}]"	wikt:conj:p32407:r266365:t0:פיעל עבר|wikt:entry:p55405:r508184:o0:t0|wikt:entry:p55405:r508184:o1612:t0
WIKT_FORM_MISMATCH	form	LX-b513d389f8.PRS.MSG	פָּקַד	UniMorph פּוֹקֵד vs Wiktionary פוֹקֵד		wikt:conj:p13376:r432157:t0:קל הווה
WIKT_FORM_MISMATCH	form	LX-2d4117a3d2.FUT.3MSG	פָּתַח	UniMorph יִפְתַּח vs Wiktionary יִפְתַח		wikt:conj:p43836:r404278:t0:קל עתיד
LEMMA_CITATION_MISMATCH	lexeme	LX-a646782180	קָטַן	UniMorph lemma קָטַן != PST.3MSG cell קָטֹן		heb_voc:11999
WIKT_FORM_MISMATCH	form	LX-3474548eed.PRS.MSG	קֻצַּר	UniMorph מְקֻצָּר vs Wiktionary מְקֻצַּר		wikt:conj:p17774:r413986:t0:פועל הווה
WIKT_FORM_MISMATCH	form	LX-5cf9adf740.FUT.3MSG	רִצָּה	UniMorph יְרַצֶּה vs Wiktionary ירַצֶּה		wikt:conj:p20067:r511869:t0:פיעל עתיד
WIKT_FORM_MISMATCH	form	LX-cff72e0868.NFIN	שָׁטַף	UniMorph לִשְׁטֹף vs Wiktionary לְשְׁטוֹף		wikt:conj:p56483:r390429:t0:קל שם הפועל
WIKT_FORM_MISMATCH	form	LX-ba9b4ec182.NFIN	אִבֵּד	UniMorph לְאַבֵּד vs Wiktionary לאַבֵּד		wikt:conj:p16602:r445684:t0:פיעל שם הפועל
WIKT_FORM_MISMATCH	form	LX-0183a3d20c.FUT.3MSG	אָנַס	UniMorph יֶאֱנֹס vs Wiktionary יַאֲנֹס		wikt:conj:p18087:r389066:t0:קל עתיד
WIKT_FORM_MISMATCH	form	LX-0183a3d20c.IMP.2MSG	אָנַס	UniMorph אֱנֹס vs Wiktionary אֲנֹס		wikt:conj:p18087:r389066:t0:קל ציווי
WIKT_FORM_MISMATCH	form	LX-0183a3d20c.NFIN	אָנַס	UniMorph לֶאֱנֹס vs Wiktionary לַאֲנֹס		wikt:conj:p18087:r389066:t0:קל שם הפועל
WIKT_FORM_MISMATCH	form	LX-e9a5325895.NFIN	אָסַף	UniMorph לֶאֱסֹף vs Wiktionary לְאֱסוֹף		wikt:conj:p56612:r385324:t0:קל שם הפועל
WIKT_FORM_MISMATCH	form	LX-6302ea5da3.FUT.3MSG	אוֹר	UniMorph יֵאוֹר vs Wiktionary יָאוֹר		wikt:conj:p31944:r408780:t0:קל עתיד
VOC_UNVOC_INCONSISTENT	form	LX-e671b27ab0.PST.1SG	אוֹתֵת	vocalized אוֹתַתִּי (stripped אותתי) vs plene אותתתי		heb_voc:14949|heb:14371
VOC_UNVOC_INCONSISTENT	form	LX-e671b27ab0.PST.2MSG	אוֹתֵת	vocalized אוֹתַתָּ (stripped אותת) vs plene אותתת		heb_voc:14952|heb:14369
VOC_UNVOC_INCONSISTENT	form	LX-e671b27ab0.PST.2FSG	אוֹתֵת	vocalized אוֹתַתְּ (stripped אותת) vs plene אותתת		heb_voc:14947|heb:14370
VOC_UNVOC_INCONSISTENT	form	LX-e671b27ab0.PST.2MPL	אוֹתֵת	vocalized אוֹתַתֶּם (stripped אותתם) vs plene אותתתם		heb_voc:14950|heb:14372
VOC_UNVOC_INCONSISTENT	form	LX-e671b27ab0.PST.2FPL	אוֹתֵת	vocalized אוֹתַתֶּן (stripped אותתן) vs plene אותתתן		heb_voc:14951|heb:14373
WIKT_FORM_MISMATCH	form	LX-58d1c93420.PRS.MSG	גֵּרֵשׁ	UniMorph מְגָרֵשׁ vs Wiktionary מְגָּרֵש		wikt:conj:p31940:r320671:t0:פיעל הווה
WIKT_FORM_MISMATCH	form	LX-58d1c93420.FUT.3MSG	גֵּרֵשׁ	UniMorph יְגָרֵשׁ vs Wiktionary יְגָּרֵש		wikt:conj:p31940:r320671:t0:פיעל עתיד
WIKT_FORM_MISMATCH	form	LX-58d1c93420.IMP.2MSG	גֵּרֵשׁ	UniMorph גָּרֵשׁ vs Wiktionary גָּרֵש		wikt:conj:p31940:r320671:t0:פיעל ציווי
WIKT_FORM_MISMATCH	form	LX-58d1c93420.NFIN	גֵּרֵשׁ	UniMorph לְגָרֵשׁ vs Wiktionary לְגָּרֵש		wikt:conj:p31940:r320671:t0:פיעל שם הפועל
WIKT_FORM_MISMATCH	form	LX-71e732f9a4.FUT.3MSG	גָּבַר	UniMorph יִגְבַּר vs Wiktionary יִגְבּוֹר		wikt:conj:p56461:r383241:t0:קל עתיד
WIKT_FORM_MISMATCH	form	LX-71e732f9a4.IMP.2MSG	גָּבַר	UniMorph גְּבַר vs Wiktionary גְּבוֹר		wikt:conj:p56461:r383241:t0:קל ציווי
WIKT_FORM_MISMATCH	form	LX-4589a8c915.PRS.MSG	דָּבַק	UniMorph דּוֹבֵק vs Wiktionary דָּבֵק		wikt:conj:p45634:r270874:t0:קל הווה
WIKT_FORM_MISMATCH	form	LX-4589a8c915.FUT.3MSG	דָּבַק	UniMorph יִדְבַּק vs Wiktionary יִדְבֹּק		wikt:conj:p45634:r270874:t0:קל עתיד
WIKT_FORM_MISMATCH	form	LX-4589a8c915.IMP.2MSG	דָּבַק	UniMorph דְּבַק vs Wiktionary דְבֹק		wikt:conj:p45634:r270874:t0:קל ציווי
WIKT_FORM_MISMATCH	form	LX-acf3993b6d.NFIN	דָּחָה	UniMorph לִדְחוֹת vs Wiktionary לְדְחוֹת		wikt:conj:p56539:r384341:t0:קל שם הפועל
WIKT_FORM_MISMATCH	form	LX-f8dff23754.IMP.2MSG	הִטַּהֵר	UniMorph הִטַּהֵר vs Wiktionary הִטָּהֵר		wikt:conj:p56331:r448139:t0:התפעל ציווי
WIKT_FORM_MISMATCH	form	LX-f8dff23754.NFIN	הִטַּהֵר	UniMorph לְהִטַּהֵר vs Wiktionary לְהִטָּהֵר		wikt:conj:p56331:r448139:t0:התפעל שם הפועל
WIKT_FORM_MISMATCH	form	LX-d8afb5b1e7.IMP.2MSG	הִכְרִיחַ	UniMorph הַכְרֵחַ vs Wiktionary הַכְרַח		wikt:conj:p45425:r321432:t0:הפעיל ציווי
BINYAN_AMBIGUOUS	lexeme	LX-a884f3aa6c	הִלֵּל	evidence supports several binyanim: PAAL, PIEL	"[{""method"": ""entry_headword_exact"", ""root"": ""ה-ל-ל"", ""binyan"": ""PAAL"", ""binyan_raw"": ""קל"", ""record"": ""wikt:entry:p13014:r519653:o70:t0"", ""page"": ""הלל""}, {""method"": ""conj_table_past_exact"", ""root"": ""ה-ל-ל"", ""binyan"": ""PIEL"", ""binyan_raw"": ""פיעל"", ""record"": ""wikt:conj:p60277:r516663:t0:פיעל עבר"", ""page"": ""הלל (שורש)""}, {""method"": ""conj_table_infinitive_exact"", ""root"": ""ה-ל-ל"", ""binyan"": ""PIEL"", ""binyan_raw"": ""פיעל"", ""record"": ""wikt:conj:p60277:r516663:t0:פיעל שם הפועל"", ""page"": ""הלל (שורש)""}]"	wikt:conj:p60277:r516663:t0:פיעל עבר|wikt:conj:p60277:r516663:t0:פיעל שם הפועל|wikt:entry:p13014:r519653:o70:t0
VOC_UNVOC_INCONSISTENT	form	LX-932d874cf9.PST.1SG	הִפְחִית	vocalized הִפְחַתִּי (stripped הפחתי) vs plene הפחתתי		heb_voc:17721|heb:19153
VOC_UNVOC_INCONSISTENT	form	LX-932d874cf9.PST.2MSG	הִפְחִית	vocalized הִפְחַתָּ (stripped הפחת) vs plene הפחתת		heb_voc:17724|heb:19151
VOC_UNVOC_INCONSISTENT	form	LX-932d874cf9.PST.2FSG	הִפְחִית	vocalized הִפְחַתְּ (stripped הפחת) vs plene הפחתת		heb_voc:17719|heb:19152
VOC_UNVOC_INCONSISTENT	form	LX-932d874cf9.PST.2MPL	הִפְחִית	vocalized הִפְחַתֶּם (stripped הפחתם) vs plene הפחתתם		heb_voc:17722|heb:19154
VOC_UNVOC_INCONSISTENT	form	LX-932d874cf9.PST.2FPL	הִפְחִית	vocalized הִפְחַתֶּן (stripped הפחתן) vs plene הפחתתן		heb_voc:17723|heb:19155
WIKT_FORM_MISMATCH	form	LX-d931a00a27.IMP.2MSG	הִפְרִיעַ	UniMorph הַפְרֵעַ vs Wiktionary הַפְרַע		wikt:conj:p15005:r270885:t0:הפעיל ציווי
WIKT_FORM_MISMATCH	form	LX-1fc8f3763d.IMP.2MSG	הִפְתִּיעַ	UniMorph הַפְתֵּעַ vs Wiktionary הַפְתַּע		wikt:conj:p34316:r266440:t0:הפעיל ציווי
WIKT_FORM_MISMATCH	form	LX-6d85cac134.IMP.2MSG	הִצְבִּיעַ	UniMorph הַצְבֵּעַ vs Wiktionary הַצְבַּע		wikt:conj:p10884:r269950:t0:הפעיל ציווי
VOC_UNVOC_INCONSISTENT	form	LX-b60a3a131b.PST.1SG	הִצִּית	vocalized הִצַּתִּי (stripped הצתי) vs plene הצתתי		heb_voc:18185|heb:19704
VOC_UNVOC_INCONSISTENT	form	LX-b60a3a131b.PST.2MSG	הִצִּית	vocalized הִצַּתָּ (stripped הצת) vs plene הצתת		heb_voc:18188|heb:19702
VOC_UNVOC_INCONSISTENT	form	LX-b60a3a131b.PST.2FSG	הִצִּית	vocalized הִצַּתְּ (stripped הצת) vs plene הצתת		heb_voc:18183|heb:19703
VOC_UNVOC_INCONSISTENT	form	LX-b60a3a131b.PST.2MPL	הִצִּית	vocalized הִצַּתֶּם (stripped הצתם) vs plene הצתתם		heb_voc:18186|heb:19705
VOC_UNVOC_INCONSISTENT	form	LX-b60a3a131b.PST.2FPL	הִצִּית	vocalized הִצַּתֶּן (stripped הצתן) vs plene הצתתן		heb_voc:18187|heb:19706
WIKT_FORM_MISMATCH	form	LX-4132cb40c8.IMP.2MSG	הִשְׁהָה	UniMorph הַשְׁהֵה vs Wiktionary הַשְׁהֶה		wikt:conj:p57085:r390662:t0:הפעיל ציווי
WIKT_FORM_MISMATCH	form	LX-2855ce8717.IMP.2MSG	הִשְׁמִיעַ	UniMorph הַשְׁמֵעַ vs Wiktionary הַשְׁמַע		wikt:conj:p17650:r342932:t0:הפעיל ציווי
WIKT_FORM_MISMATCH	form	LX-2855ce8717.NFIN	הִשְׁמִיעַ	UniMorph לְהַשְׁמִיעַ vs Wiktionary להַשְׁמִיעַ		wikt:conj:p17650:r342932:t0:הפעיל שם הפועל
ROOT_AMBIGUOUS	lexeme	LX-b1e944da04	הִשְׁקָה	evidence supports several roots: שקה, שקי	"[{""method"": ""entry_headword_exact"", ""root"": ""שׁ-ק-י"", ""binyan"": ""HIFIL"", ""record"": ""wikt:entry:p45733:r509683:o4050:t0"", ""page"": ""השקה""}, {""method"": ""conj_table_past_exact"", ""root"": ""שׁ-ק-ה"", ""binyan"": ""HIFIL"", ""record"": ""wikt:conj:p61233:r453477:t0:הפעיל עבר"", ""page"": ""שׁקי (שורש)""}, {""method"": ""conj_table_infinitive_exact"", ""root"": ""שׁ-ק-ה"", ""binyan"": ""HIFIL"", ""record"": ""wikt:conj:p61233:r453477:t0:הפעיל שם הפועל"", ""page"": ""שׁקי (שורש)""}]"	wikt:conj:p61233:r453477:t0:הפעיל עבר|wikt:conj:p61233:r453477:t0:הפעיל שם הפועל|wikt:entry:p45733:r509683:o4050:t0
WIKT_FORM_MISMATCH	form	LX-993161330e.NFIN	הִשְׁתַּנָּה	UniMorph לְהִשְׁתַּנּוֹת vs Wiktionary לְהִשְׁתַּנוֹת		wikt:conj:p45366:r271015:t0:התפעל שם הפועל
ROOT_AMBIGUOUS	lexeme	LX-f66a0ca4da	הֵחִיל	evidence supports several roots: חול, חיל	"[{""method"": ""entry_headword_exact"", ""root"": ""ח-ו-ל"", ""binyan"": ""HIFIL"", ""record"": ""wikt:entry:p11527:r494334:o0:t0"", ""page"": ""החיל""}, {""method"": ""entry_headword_exact"", ""root"": ""ח-י-ל"", ""binyan"": ""HIFIL"", ""record"": ""wikt:entry:p11527:r494334:o436:t0"", ""page"": ""החיל""}, {""method"": ""conj_table_past_exact"", ""root"": ""ח-י-ל"", ""binyan"": ""HIFIL"", ""record"": ""wikt:conj:p11583:r321026:t0:הפעיל עבר"", ""page"": ""חיל א (שורש)""}, {""method"": ""conj_table_past_exact"", ""root"": ""ח-ו-ל"", ""binyan"": ""HIFIL"", ""record"": ""wikt:conj:p20089:r163651:t0:הפעיל עבר"", ""page"": ""חול (שורש)""}, {""method"": ""conj_table_infinitive_exact"", ""root"": ""ח-י-ל"", ""binyan"": ""HIFIL"", ""record"": ""wikt:conj:p11583:r321026:t0:הפעיל שם הפועל"", ""page"": ""חיל א (שורש)""}, {""method"": ""conj_table_infinitive_exact"", ""root"": ""ח-ו-ל"", ""binyan"": ""HIFIL"", ""record"": ""wikt:conj:p20089:r163651:t0:הפעיל שם הפועל"", ""page"": ""חול (שורש)""}]"	wikt:conj:p11583:r321026:t0:הפעיל עבר|wikt:conj:p11583:r321026:t0:הפעיל שם הפועל|wikt:conj:p20089:r163651:t0:הפעיל עבר|wikt:conj:p20089:r163651:t0:הפעיל שם הפועל|wikt:entry:p11527:r494334:o0:t0|wikt:entry:p11527:r494334:o436:t0
WIKT_FORM_MISMATCH	form	LX-0fc1f0960a.FUT.3MSG	הֵטִיב	UniMorph יֵטִיב vs Wiktionary יָטִיב		wikt:conj:p40792:r438225:t0:הפעיל עתיד
WIKT_FORM_MISMATCH	form	LX-0fc1f0960a.IMP.2MSG	הֵטִיב	UniMorph הֵטֵב vs Wiktionary הָטֵב		wikt:conj:p40792:r438225:t0:הפעיל ציווי
WIKT_FORM_MISMATCH	form	LX-0fc1f0960a.NFIN	הֵטִיב	UniMorph לְהֵטִיב vs Wiktionary לְהָטִיב		wikt:conj:p40792:r438225:t0:הפעיל שם הפועל
WIKT_FORM_MISMATCH	form	LX-11f8f3b455.IMP.2MSG	הֵיטִיב	UniMorph הֵיטֵב vs Wiktionary הַיְטֵב		wikt:conj:p34347:r422477:t0:הפעיל ציווי
WIKT_FORM_MISMATCH	form	LX-c9a5b2736d.PRS.MSG	הֵימִין	UniMorph מֵימִין vs Wiktionary מַיְמִין		wikt:conj:p56607:r489899:t0:הפעיל הווה
WIKT_FORM_MISMATCH	form	LX-c9a5b2736d.FUT.3MSG	הֵימִין	UniMorph יֵימִין vs Wiktionary יַיְמִין		wikt:conj:p56607:r489899:t0:הפעיל עתיד
WIKT_FORM_MISMATCH	form	LX-c9a5b2736d.IMP.2MSG	הֵימִין	UniMorph הֵימֵן vs Wiktionary הַיְמֵן		wikt:conj:p56607:r489899:t0:הפעיל ציווי
WIKT_FORM_MISMATCH	form	LX-c9a5b2736d.NFIN	הֵימִין	UniMorph לְהֵימִין vs Wiktionary לְהַיְמִין		wikt:conj:p56607:r489899:t0:הפעיל שם הפועל
VOC_UNVOC_INCONSISTENT	form	LX-ea43dfa94f.PST.1SG	הֵמִית	vocalized הֵמַתִּי (stripped המתי) vs plene המתתי		heb_voc:21429|heb:18486
VOC_UNVOC_INCONSISTENT	form	LX-ea43dfa94f.PST.2MSG	הֵמִית	vocalized הֵמַתָּ (stripped המת) vs plene המתת		heb_voc:21430|heb:18484
VOC_UNVOC_INCONSISTENT	form	LX-ea43dfa94f.PST.2FSG	הֵמִית	vocalized הֵמַתְּ (stripped המת) vs plene המתת		heb_voc:21427|heb:18485
VOC_UNVOC_INCONSISTENT	form	LX-ea43dfa94f.PST.2MPL	הֵמִית	vocalized הֲמַתֶּם (stripped המתם) vs plene המתתם		heb_voc:21421|heb:18487
VOC_UNVOC_INCONSISTENT	form	LX-ea43dfa94f.PST.2FPL	הֵמִית	vocalized הֲמַתֶּן (stripped המתן) vs plene המתתן		heb_voc:21422|heb:18488
WIKT_FORM_MISMATCH	form	LX-001c057dd4.FUT.3MSG	הֵנִיחַ	UniMorph יָנִיחַ vs Wiktionary יַנִּיחַ		wikt:conj:p56604:r385269:t0:הפעיל עתיד
WIKT_FORM_MISMATCH	form	LX-001c057dd4.IMP.2MSG	הֵנִיחַ	UniMorph הָנַח vs Wiktionary הַנַּח		wikt:conj:p56604:r385269:t0:הפעיל ציווי
