example_id	pair_id	condition	lexeme_id	source_form	source_cell	target_cell	target_features	target_form	analysis__root_id	analysis__root	analysis__root_orthographic	analysis__orthographic_root_group_id	analysis__root_length	analysis__binyan	analysis__root_binyan_key	analysis__structural_class	analysis__structural_signature	analysis__traditional_class	analysis__sc_strong	analysis__sc_final_he	analysis__sc_hollow_candidate	analysis__sc_initial_nun	analysis__sc_initial_yod_waw	analysis__sc_geminate	analysis__sc_guttural_containing	analysis__sc_quadriliteral	analysis__lemma_vocalized	analysis__lexeme_quality_tier	analysis__source_form_quality_tier	analysis__target_form_quality_tier	analysis__example_quality_tier	analysis__eligible_default	analysis__source_form_id	analysis__target_form_id	analysis__source_ids	analysis__lexeme_source_primary	analysis__target_is_syncretic	analysis__target_syncretism_group	analysis__target_same_form_past_cells	analysis__source_equals_target	analysis__target_form_length
PR:voc:LX-001c057dd4:PST.3MSG>PST.1SG	LX-001c057dd4:PST.3MSG>PST.1SG	voc	LX-001c057dd4	הֵנִיחַ	PST.3MSG	PST.1SG	PST,1,SG	הֵנַחְתִּי	RT-229e7b0bec	נוח	נוח	RG-229e7b0bec	3	HIFIL	RT-229e7b0bec|HIFIL	hollow_candidate	N.W.X	AYIN_WAW_YOD	False	False	True	True	False	False	True	False	הֵנִיחַ	SILVER	SILVER	SILVER	SILVER	True	LX-001c057dd4.PST.3MSG	LX-001c057dd4.PST.1SG	heb_voc:21453|heb:18600|heb_voc:21458|heb:18597	unimorph_heb	False		PST.1SG	False	10
PR:voc:LX-001c057dd4:PST.3MSG>PST.2MSG	LX-001c057dd4:PST.3MSG>PST.2MSG	voc	LX-001c057dd4	הֵנִיחַ	PST.3MSG	PST.2MSG	PST,2,SG,MASC	הֵנַחְתָּ	RT-229e7b0bec	נוח	נוח	RG-229e7b0bec	3	HIFIL	RT-229e7b0bec|HIFIL	hollow_candidate	N.W.X	AYIN_WAW_YOD	False	False	True	True	False	False	True	False	הֵנִיחַ	SILVER	SILVER	SILVER	SILVER	True	LX-001c057dd4.PST.3MSG	LX-001c057dd4.PST.2MSG	heb_voc:21453|heb:18600|heb_voc:21459|heb:18595	unimorph_heb	False		PST.2MSG	False	9
PR:voc:LX-001c057dd4:PST.3MSG>PST.2FSG	LX-001c057dd4:PST.3MSG>PST.2FSG	voc	LX-001c057dd4	הֵנִיחַ	PST.3MSG	PST.2FSG	PST,2,SG,FEM	הֵנַחְתְּ	RT-229e7b0bec	נוח	נוח	RG-229e7b0bec	3	HIFIL	RT-229e7b0bec|HIFIL	hollow_candidate	N.W.X	AYIN_WAW_YOD	False	False	True	True	False	False	True	False	הֵנִיחַ	SILVER	SILVER	SILVER	SILVER	True	LX-001c057dd4.PST.3MSG	LX-001c057dd4.PST.2FSG	heb_voc:21453|heb:18600|heb_voc:21457|heb:18596	unimorph_heb	False		PST.2FSG	False	9
PR:voc:LX-001c057dd4:PST.3MSG>PST.3FSG	LX-001c057dd4:PST.3MSG>PST.3FSG	voc	LX-001c057dd4	הֵנִיחַ	PST.3MSG	PST.3FSG	PST,3,SG,FEM	הֵנִיחָה	RT-229e7b0bec	נוח	נוח	RG-229e7b0bec	3	HIFIL	RT-229e7b0bec|HIFIL	hollow_candidate	N.W.X	AYIN_WAW_YOD	False	False	True	True	False	False	True	False	הֵנִיחַ	SILVER	SILVER	SILVER	SILVER	True	LX-001c057dd4.PST.3MSG	LX-001c057dd4.PST.3FSG	heb_voc:21453|heb:18600|heb_voc:21454|heb:18601	unimorph_heb	False		PST.3FSG	False	8
PR:voc:LX-001c057dd4:PST.3MSG>PST.1PL	LX-001c057dd4:PST.3MSG>PST.1PL	voc	LX-001c057dd4	הֵנִיחַ	PST.3MSG	PST.1PL	PST,1,PL	הֵנַחְנוּ	RT-229e7b0bec	נוח	נוח	RG-229e7b0bec	3	HIFIL	RT-229e7b0bec|HIFIL	hollow_candidate	N.W.X	AYIN_WAW_YOD	False	False	True	True	False	False	True	False	הֵנִיחַ	SILVER	SILVER	SILVER	SILVER	True	LX-001c057dd4.PST.3MSG	LX-001c057dd4.PST.1PL	heb_voc:21453|heb:18600|heb_voc:21456|heb:18594	unimorph_heb	False		PST.1PL	False	9
PR:voc:LX-001c057dd4:PST.3MSG>PST.2MPL	LX-001c057dd4:PST.3MSG>PST.2MPL	voc	LX-001c057dd4	הֵנִיחַ	PST.3MSG	PST.2MPL	PST,2,PL,MASC	הֲנַחְתֶּם	RT-229e7b0bec	נוח	נוח	RG-229e7b0bec	3	HIFIL	RT-229e7b0bec|HIFIL	hollow_candidate	N.W.X	AYIN_WAW_YOD	False	False	True	True	False	False	True	False	הֵנִיחַ	SILVER	SILVER	SILVER	SILVER	True	LX-001c057dd4.PST.3MSG	LX-001c057dd4.PST.2MPL	heb_voc:21453|heb:18600|heb_voc:21450|heb:18598	unimorph_heb	False		PST.2MPL	False	10
PR:voc:LX-001c057dd4:PST.3MSG>PST.2FPL	LX-001c057dd4:PST.3MSG>PST.2FPL	voc	LX-001c057dd4	הֵנִיחַ	PST.3MSG	PST.2FPL	PST,2,PL,FEM	הֲנַחְתֶּן	RT-229e7b0bec	נוח	נוח	RG-229e7b0bec	3	HIFIL	RT-229e7b0bec|HIFIL	hollow_candidate	N.W.X	AYIN_WAW_YOD	False	False	True	True	False	False	True	False	הֵנִיחַ	SILVER	SILVER	SILVER	SILVER	True	LX-001c057dd4.PST.3MSG	LX-001c057dd4.PST.2FPL	heb_voc:21453|heb:18600|heb_voc:21451|heb:18599	unimorph_heb	False		PST.2FPL	False	10
PR:voc:LX-001c057dd4:PST.3MSG>PST.3PL	LX-001c057dd4:PST.3MSG>PST.3PL	voc	LX-001c057dd4	הֵנִיחַ	PST.3MSG	PST.3PL	PST,3,PL	הֵנִיחוּ	RT-229e7b0bec	נוח	נוח	RG-229e7b0bec	3	HIFIL	RT-229e7b0bec|HIFIL	hollow_candidate	N.W.X	AYIN_WAW_YOD	False	False	True	True	False	False	True	False	הֵנִיחַ	SILVER	SILVER	SILVER	SILVER	True	LX-001c057dd4.PST.3MSG	LX-001c057dd4.PST.3PL	heb_voc:21453|heb:18600|heb_voc:21455|heb:18602	unimorph_heb	False		PST.3PL	False	8
PR:unv:LX-006a00a0ca:PST.3MSG>PST.1SG	LX-006a00a0ca:PST.3MSG>PST.1SG	unv	LX-006a00a0ca	כתב	PST.3MSG	PST.1SG	PST,1,SG	כתבתי	RT-635e64bd0f	כתב	כתב	RG-635e64bd0f	3	PAAL	RT-635e64bd0f|PAAL	strong	C.C.C	SHLEMIM	True	False	False	False	False	False	False	False	כָּתַב	GOLD	GOLD	GOLD	GOLD	True	LX-006a00a0ca.PST.3MSG	LX-006a00a0ca.PST.1SG	heb_voc:7510|heb:7525|heb_voc:7513|heb:7533	unimorph_heb	False		PST.1SG	False	5
PR:unv:LX-006a00a0ca:PST.3MSG>PST.2MSG	LX-006a00a0ca:PST.3MSG>PST.2MSG	unv	LX-006a00a0ca	כתב	PST.3MSG	PST.2MSG	PST,2,SG,MASC	כתבת	RT-635e64bd0f	כתב	כתב	RG-635e64bd0f	3	PAAL	RT-635e64bd0f|PAAL	strong	C.C.C	SHLEMIM	True	False	False	False	False	False	False	False	כָּתַב	GOLD	GOLD	GOLD	GOLD	True	LX-006a00a0ca.PST.3MSG	LX-006a00a0ca.PST.2MSG	heb_voc:7510|heb:7525|heb_voc:7514|heb:7531	unimorph_heb	True	LX-006a00a0ca:U1	PST.2MSG|PST.2FSG	False	4
PR:unv:LX-006a00a0ca:PST.3MSG>PST.2FSG	LX-006a00a0ca:PST.3MSG>PST.2FSG	unv	LX-006a00a0ca	כתב	PST.3MSG	PST.2FSG	PST,2,SG,FEM	כתבת	RT-635e64bd0f	כתב	כתב	RG-635e64bd0f	3	PAAL	RT-635e64bd0f|PAAL	strong	C.C.C	SHLEMIM	True	False	False	False	False	False	False	False	כָּתַב	GOLD	GOLD	GOLD	GOLD	True	LX-006a00a0ca.PST.3MSG	LX-006a00a0ca.PST.2FSG	heb_voc:7510|heb:7525|heb_voc:7512|heb:7532	unimorph_heb	True	LX-006a00a0ca:U1	PST.2MSG|PST.2FSG	False	4
PR:unv:LX-006a00a0ca:PST.3MSG>PST.3FSG	LX-006a00a0ca:PST.3MSG>PST.3FSG	unv	LX-006a00a0ca	כתב	PST.3MSG	PST.3FSG	PST,3,SG,FEM	כתבה	RT-635e64bd0f	כתב	כתב	RG-635e64bd0f	3	PAAL	RT-635e64bd0f|PAAL	strong	C.C.C	SHLEMIM	True	False	False	False	False	False	False	False	כָּתַב	GOLD	GOLD	GOLD	GOLD	True	LX-006a00a0ca.PST.3MSG	LX-006a00a0ca.PST.3FSG	heb_voc:7510|heb:7525|heb_voc:7508|heb:7526	unimorph_heb	False		PST.3FSG	False	4
PR:unv:LX-006a00a0ca:PST.3MSG>PST.1PL	LX-006a00a0ca:PST.3MSG>PST.1PL	unv	LX-006a00a0ca	כתב	PST.3MSG	PST.1PL	PST,1,PL	כתבנו	RT-635e64bd0f	כתב	כתב	RG-635e64bd0f	3	PAAL	RT-635e64bd0f|PAAL	strong	C.C.C	SHLEMIM	True	False	False	False	False	False	False	False	כָּתַב	GOLD	GOLD	GOLD	GOLD	True	LX-006a00a0ca.PST.3MSG	LX-006a00a0ca.PST.1PL	heb_voc:7510|heb:7525|heb_voc:7511|heb:7530	unimorph_heb	False		PST.1PL	False	5
PR:unv:LX-006a00a0ca:PST.3MSG>PST.2MPL	LX-006a00a0ca:PST.3MSG>PST.2MPL	unv	LX-006a00a0ca	כתב	PST.3MSG	PST.2MPL	PST,2,PL,MASC	כתבתם	RT-635e64bd0f	כתב	כתב	RG-635e64bd0f	3	PAAL	RT-635e64bd0f|PAAL	strong	C.C.C	SHLEMIM	True	False	False	False	False	False	False	False	כָּתַב	GOLD	GOLD	GOLD	GOLD	True	LX-006a00a0ca.PST.3MSG	LX-006a00a0ca.PST.2MPL	heb_voc:7510|heb:7525|heb_voc:7502|heb:7534	unimorph_heb	False		PST.2MPL	False	5
PR:unv:LX-006a00a0ca:PST.3MSG>PST.2FPL	LX-006a00a0ca:PST.3MSG>PST.2FPL	unv	LX-006a00a0ca	כתב	PST.3MSG	PST.2FPL	PST,2,PL,FEM	כתבתן	RT-635e64bd0f	כתב	כתב	RG-635e64bd0f	3	PAAL	RT-635e64bd0f|PAAL	strong	C.C.C	SHLEMIM	True	False	False	False	False	False	False	False	כָּתַב	GOLD	GOLD	GOLD	GOLD	True	LX-006a00a0ca.PST.3MSG	LX-006a00a0ca.PST.2FPL	heb_voc:7510|heb:7525|heb_voc:7503|heb:7535	unimorph_heb	False		PST.2FPL	False	5
PR:unv:LX-006a00a0ca:PST.3MSG>PST.3PL	LX-006a00a0ca:PST.3MSG>PST.3PL	unv	LX-006a00a0ca	כתב	PST.3MSG	PST.3PL	PST,3,PL	כתבו	RT-635e64bd0f	כתב	כתב	RG-635e64bd0f	3	PAAL	RT-635e64bd0f|PAAL	strong	C.C.C	SHLEMIM	True	False	False	False	False	False	False	False	כָּתַב	GOLD	GOLD	GOLD	GOLD	True	LX-006a00a0ca.PST.3MSG	LX-006a00a0ca.PST.3PL	heb_voc:7510|heb:7525|heb_voc:7509|heb:7527	unimorph_heb	True	LX-006a00a0ca:U2	PST.3PL	False	4
PR:voc:LX-006a00a0ca:PST.3MSG>PST.1SG	LX-006a00a0ca:PST.3MSG>PST.1SG	voc	LX-006a00a0ca	כָּתַב	PST.3MSG	PST.1SG	PST,1,SG	כָּתַבְתִּי	RT-635e64bd0f	כתב	כתב	RG-635e64bd0f	3	PAAL	RT-635e64bd0f|PAAL	strong	C.C.C	SHLEMIM	True	False	False	False	False	False	False	False	כָּתַב	GOLD	GOLD	GOLD	GOLD	True	LX-006a00a0ca.PST.3MSG	LX-006a00a0ca.PST.1SG	heb_voc:7510|heb:7525|heb_voc:7513|heb:7533	unimorph_heb	False		PST.1SG	False	11
